Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	AZ300	AZ300			Other																												
ACVR1B	gene	ACVR1B	AZ300	AZ300			Other																												
ACVR2A	gene	ACVR2A	AZ300	AZ300			Other																												
ACVRL1	gene	ACVRL1	AZ300	AZ300			Other																												
AGTR2	gene	AGTR2	AZ300	AZ300			Other																												
AJUBA	gene	AJUBA	AZ300	AZ300			Other																												
AKT1	gene	AKT1	AZ300	AZ300			Other																												
AKT1S1	gene	AKT1S1	AZ300	AZ300			Other																												
AKT2	gene	AKT2	AZ300	AZ300			Other																												
AKT3	gene	AKT3	AZ300	AZ300			Other																												
ALK	gene	ALK	AZ300	AZ300			Other																												
AMER1	gene	AMER1	AZ300	AZ300			Other																												
APC	gene	APC	AZ300	AZ300			Other																												
AR	gene	AR	AZ300	AZ300			Other																												
ARAF	gene	ARAF	AZ300	AZ300			Other																												
ARHGAP35	gene	ARHGAP35	AZ300	AZ300			Other																												
ARID1A	gene	ARID1A	AZ300	AZ300			Other																												
ARID1B	gene	ARID1B	AZ300	AZ300			Other																												
ARID2	gene	ARID2	AZ300	AZ300			Other																												
ARID5B	gene	ARID5B	AZ300	AZ300			Other																												
ASXL1	gene	ASXL1	AZ300	AZ300			Other																												
ATM	gene	ATM	AZ300	AZ300			Other																												
ATR	gene	ATR	AZ300	AZ300			Other																												
ATRX	gene	ATRX	AZ300	AZ300			Other																												
AXIN2	gene	AXIN2	AZ300	AZ300			Other																												
B4GALT3	gene	B4GALT3	AZ300	AZ300			Other																												
BAP1	gene	BAP1	AZ300	AZ300			Other																												
BCL2L1	gene	BCL2L1	AZ300	AZ300			Other																												
BCL9	gene	BCL9	AZ300	AZ300			Other																												
BRAF	gene	BRAF	AZ300	AZ300			Other																												
BRCA1	gene	BRCA1	AZ300	AZ300			Other																												
BRCA2	gene	BRCA2	AZ300	AZ300			Other																												
BRD2	gene	BRD2	AZ300	AZ300			Other																												
BRD3	gene	BRD3	AZ300	AZ300			Other																												
BRD4	gene	BRD4	AZ300	AZ300			Other																												
BRD9	gene	BRD9	AZ300	AZ300			Other																												
BRIP1	gene	BRIP1	AZ300	AZ300			Other																												
CBFB	gene	CBFB	AZ300	AZ300			Other																												
CBL	gene	CBL	AZ300	AZ300			Other																												
CCND1	gene	CCND1	AZ300	AZ300			Other																												
CCND2	gene	CCND2	AZ300	AZ300			Other																												
CCND3	gene	CCND3	AZ300	AZ300			Other																												
CCNE1	gene	CCNE1	AZ300	AZ300			Other																												
CDH1	gene	CDH1	AZ300	AZ300			Other																												
CDK12	gene	CDK12	AZ300	AZ300			Other																												
CDK4	gene	CDK4	AZ300	AZ300			Other																												
CDK6	gene	CDK6	AZ300	AZ300			Other																												
CDK8	gene	CDK8	AZ300	AZ300			Other																												
CDK9	gene	CDK9	AZ300	AZ300			Other																												
CDKN1A	gene	CDKN1A	AZ300	AZ300			Other																												
CDKN1B	gene	CDKN1B	AZ300	AZ300			Other																												
CDKN2A	gene	CDKN2A	AZ300	AZ300			Other																												
CDKN2B	gene	CDKN2B	AZ300	AZ300			Other																												
CDKN2C	gene	CDKN2C	AZ300	AZ300			Other																												
CEBPA	gene	CEBPA	AZ300	AZ300			Other																												
CHEK1	gene	CHEK1	AZ300	AZ300			Other																												
CHEK2	gene	CHEK2	AZ300	AZ300			Other																												
CRIPAK	gene	CRIPAK	AZ300	AZ300			Other																												
CRKL	gene	CRKL	AZ300	AZ300			Other																												
CSNK2A1	gene	CSNK2A1	AZ300	AZ300			Other																												
CTCF	gene	CTCF	AZ300	AZ300			Other																												
CTNNB1	gene	CTNNB1	AZ300	AZ300			Other																												
CYP2D6	gene	CYP2D6	AZ300	AZ300			Other																												
DCUN1D1	gene	DCUN1D1	AZ300	AZ300			Other																												
DDR1	gene	DDR1	AZ300	AZ300			Other																												
DDR2	gene	DDR2	AZ300	AZ300			Other																												
DEPTOR	gene	DEPTOR	AZ300	AZ300			Other																												
DNMT3A	gene	DNMT3A	AZ300	AZ300			Other																												
EGFR	gene	EGFR	AZ300	AZ300			Other																												
EGR3	gene	EGR3	AZ300	AZ300			Other																												
EIF4A2	gene	EIF4A2	AZ300	AZ300			Other																												
ELF3	gene	ELF3	AZ300	AZ300			Other																												
EP300	gene	EP300	AZ300	AZ300			Other																												
EPHA3	gene	EPHA3	AZ300	AZ300			Other																												
EPHB6	gene	EPHB6	AZ300	AZ300			Other																												
EPPK1	gene	EPPK1	AZ300	AZ300			Other																												
ERAS	gene	ERAS	AZ300	AZ300			Other																												
ERBB2	gene	ERBB2	AZ300	AZ300			Other																												
ERBB3	gene	ERBB3	AZ300	AZ300			Other																												
ERBB4	gene	ERBB4	AZ300	AZ300			Other																												
ERCC1	gene	ERCC1	AZ300	AZ300			Other																												
ERCC2	gene	ERCC2	AZ300	AZ300			Other																												
ERRFI1	gene	ERRFI1	AZ300	AZ300			Other																												
ESR1	gene	ESR1	AZ300	AZ300			Other																												
EZH2	gene	EZH2	AZ300	AZ300			Other																												
FAM175A	gene	FAM175A	AZ300	AZ300			Other																												
FBXW7	gene	FBXW7	AZ300	AZ300			Other																												
FGF1	gene	FGF1	AZ300	AZ300			Other																												
FGF10	gene	FGF10	AZ300	AZ300			Other																												
FGF12	gene	FGF12	AZ300	AZ300			Other																												
FGF14	gene	FGF14	AZ300	AZ300			Other																												
FGF19	gene	FGF19	AZ300	AZ300			Other																												
FGF2	gene	FGF2	AZ300	AZ300			Other																												
FGF23	gene	FGF23	AZ300	AZ300			Other																												
FGF3	gene	FGF3	AZ300	AZ300			Other																												
FGF4	gene	FGF4	AZ300	AZ300			Other																												
FGF5	gene	FGF5	AZ300	AZ300			Other																												
FGF6	gene	FGF6	AZ300	AZ300			Other																												
FGF7	gene	FGF7	AZ300	AZ300			Other																												
FGF8	gene	FGF8	AZ300	AZ300			Other																												
FGF9	gene	FGF9	AZ300	AZ300			Other																												
FGFR1	gene	FGFR1	AZ300	AZ300			Other																												
FGFR2	gene	FGFR2	AZ300	AZ300			Other																												
FGFR3	gene	FGFR3	AZ300	AZ300			Other																												
FGFR4	gene	FGFR4	AZ300	AZ300			Other																												
FKBP1A	gene	FKBP1A	AZ300	AZ300			Other																												
FLT3	gene	FLT3	AZ300	AZ300			Other																												
FOXA1	gene	FOXA1	AZ300	AZ300			Other																												
FOXA2	gene	FOXA2	AZ300	AZ300			Other																												
FOXC1	gene	FOXC1	AZ300	AZ300			Other																												
FOXL2	gene	FOXL2	AZ300	AZ300			Other																												
FRS2	gene	FRS2	AZ300	AZ300			Other																												
GAS6	gene	GAS6	AZ300	AZ300			Other																												
GATA3	gene	GATA3	AZ300	AZ300			Other																												
GNA11	gene	GNA11	AZ300	AZ300			Other																												
