Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABCB11	gene	ABCB11	CPSR_panel0	CPSR_panel0			Other																												
ABRAXAS1	gene	ABRAXAS1	CPSR_panel0	CPSR_panel0			Other																												
ACD	gene	ACD	CPSR_panel0	CPSR_panel0			Other																												
AIP	gene	AIP	CPSR_panel0	CPSR_panel0			Other																												
AKT1	gene	AKT1	CPSR_panel0	CPSR_panel0			Other																												
ALK	gene	ALK	CPSR_panel0	CPSR_panel0			Other																												
APC	gene	APC	CPSR_panel0	CPSR_panel0			Other																												
APOBEC3B	gene	APOBEC3B	CPSR_panel0	CPSR_panel0			Other																												
AR	gene	AR	CPSR_panel0	CPSR_panel0			Other																												
ATM	gene	ATM	CPSR_panel0	CPSR_panel0			Other																												
ATR	gene	ATR	CPSR_panel0	CPSR_panel0			Other																												
AXIN1	gene	AXIN1	CPSR_panel0	CPSR_panel0			Other																												
AXIN2	gene	AXIN2	CPSR_panel0	CPSR_panel0			Other																												
BAP1	gene	BAP1	CPSR_panel0	CPSR_panel0			Other																												
BARD1	gene	BARD1	CPSR_panel0	CPSR_panel0			Other																												
BLM	gene	BLM	CPSR_panel0	CPSR_panel0			Other																												
BMPR1A	gene	BMPR1A	CPSR_panel0	CPSR_panel0			Other																												
BRAF	gene	BRAF	CPSR_panel0	CPSR_panel0			Other																												
BRCA1	gene	BRCA1	CPSR_panel0	CPSR_panel0			Other																												
BRCA2	gene	BRCA2	CPSR_panel0	CPSR_panel0			Other																												
BRIP1	gene	BRIP1	CPSR_panel0	CPSR_panel0			Other																												
BUB1B	gene	BUB1B	CPSR_panel0	CPSR_panel0			Other																												
CASR	gene	CASR	CPSR_panel0	CPSR_panel0			Other																												
CBL	gene	CBL	CPSR_panel0	CPSR_panel0			Other																												
CDC73	gene	CDC73	CPSR_panel0	CPSR_panel0			Other																												
CDH1	gene	CDH1	CPSR_panel0	CPSR_panel0			Other																												
CDH10	gene	CDH10	CPSR_panel0	CPSR_panel0			Other																												
CDK4	gene	CDK4	CPSR_panel0	CPSR_panel0			Other																												
CDKN1B	gene	CDKN1B	CPSR_panel0	CPSR_panel0			Other																												
