Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
RRP15	gene	RRP15	HMF_fusions	HMF_fusions			Other																												
PIK3CB	gene	PIK3CB	HMF_fusions	HMF_fusions			Other																												
ETV1	gene	ETV1	HMF_fusions	HMF_fusions			Other																												
GLI1	gene	GLI1	HMF_fusions	HMF_fusions			Other																												
BRAF	gene	BRAF	HMF_fusions	HMF_fusions			Other																												
MCPH1	gene	MCPH1	HMF_fusions	HMF_fusions			Other																												
FHDC1	gene	FHDC1	HMF_fusions	HMF_fusions			Other																												
MAST2	gene	MAST2	HMF_fusions	HMF_fusions			Other																												
TFE3	gene	TFE3	HMF_fusions	HMF_fusions			Other																												
JAK2	gene	JAK2	HMF_fusions	HMF_fusions			Other																												
PDGFRB	gene	PDGFRB	HMF_fusions	HMF_fusions			Other																												
FBXO38	gene	FBXO38	HMF_fusions	HMF_fusions			Other																												
RAF1	gene	RAF1	HMF_fusions	HMF_fusions			Other																												
ALK	gene	ALK	HMF_fusions	HMF_fusions			Other																												
PKD1L1	gene	PKD1L1	HMF_fusions	HMF_fusions			Other																												
AKT2	gene	AKT2	HMF_fusions	HMF_fusions			Other																												
CCNB3	gene	CCNB3	HMF_fusions	HMF_fusions			Other																												
RARA	gene	RARA	HMF_fusions	HMF_fusions			Other																												
ABL1	gene	ABL1	HMF_fusions	HMF_fusions			Other																												
FGFR1	gene	FGFR1	HMF_fusions	HMF_fusions			Other																												
PDGFRA	gene	PDGFRA	HMF_fusions	HMF_fusions			Other																												
NUTM1	gene	NUTM1	HMF_fusions	HMF_fusions			Other																												
C15orf55	gene	C15orf55	HMF_fusions	HMF_fusions			Other																												
NUT	gene	NUT	HMF_fusions	HMF_fusions			Other																												
NTRK3	gene	NTRK3	HMF_fusions	HMF_fusions			Other																												
ETV4	gene	ETV4	HMF_fusions	HMF_fusions			Other																												
GLIS2	gene	GLIS2	HMF_fusions	HMF_fusions			Other																												
MYH11	gene	MYH11	HMF_fusions	HMF_fusions			Other																												
RET	gene	RET	HMF_fusions	HMF_fusions			Other																												
ROS1	gene	ROS1	HMF_fusions	HMF_fusions			Other																												
IGH	gene	IGH	HMF_fusions	HMF_fusions			Other																												
NRG1	gene	NRG1	HMF_fusions	HMF_fusions			Other																												
NTRK1	gene	NTRK1	HMF_fusions	HMF_fusions			Other																												
USP6	gene	USP6	HMF_fusions	HMF_fusions			Other																												
WDFY2	gene	WDFY2	HMF_fusions	HMF_fusions			Other																												
PLAG1	gene	PLAG1	HMF_fusions	HMF_fusions			Other																												
DUX4	gene	DUX4	HMF_fusions	HMF_fusions			Other																												
DUX4L1	gene	DUX4L1	HMF_fusions	HMF_fusions			Other																												
FOXO4	gene	FOXO4	HMF_fusions	HMF_fusions			Other																												
PDGFB	gene	PDGFB	HMF_fusions	HMF_fusions			Other																												
MAML2	gene	MAML2	HMF_fusions	HMF_fusions			Other																												
SIP1	gene	SIP1	HMF_fusions	HMF_fusions			Other																												
CD28	gene	CD28	HMF_fusions	HMF_fusions			Other																												
RHEBL1	gene	RHEBL1	HMF_fusions	HMF_fusions			Other																												
PRKACA	gene	PRKACA	HMF_fusions	HMF_fusions			Other																												
KDD	gene	KDD	HMF_fusions	HMF_fusions			Other																												
RAD51	gene	RAD51	HMF_fusions	HMF_fusions			Other																												
RSPO2	gene	RSPO2	HMF_fusions	HMF_fusions			Other																												
CYP39A1	gene	CYP39A1	HMF_fusions	HMF_fusions			Other																												
PHF1	gene	PHF1	HMF_fusions	HMF_fusions			Other																												
FERMT2	gene	FERMT2	HMF_fusions	HMF_fusions			Other																												
CCDC170	gene	CCDC170	HMF_fusions	HMF_fusions			Other																												
YAP1	gene	YAP1	HMF_fusions	HMF_fusions			Other																												
FLT3	gene	FLT3	HMF_fusions	HMF_fusions			Other																												
ITPR2	gene	ITPR2	HMF_fusions	HMF_fusions			Other																												
RUNX1	gene	RUNX1	HMF_fusions	HMF_fusions			Other																												
ATF1	gene	ATF1	HMF_fusions	HMF_fusions			Other																												
CREB1	gene	CREB1	HMF_fusions	HMF_fusions			Other																												
DDIT3	gene	DDIT3	HMF_fusions	HMF_fusions			Other																												
ERG	gene	ERG	HMF_fusions	HMF_fusions			Other																												
FEV	gene	FEV	HMF_fusions	HMF_fusions			Other																												
FLI1	gene	FLI1	HMF_fusions	HMF_fusions			Other																												
NFATC1	gene	NFATC1	HMF_fusions	HMF_fusions			Other																												
NFATC2	gene	NFATC2	HMF_fusions	HMF_fusions			Other																												
NR4A3	gene	NR4A3	HMF_fusions	HMF_fusions			Other																												
PATZ1	gene	PATZ1	HMF_fusions	HMF_fusions			Other																												
PBX1	gene	PBX1	HMF_fusions	HMF_fusions			Other																												
POU5F1	gene	POU5F1	HMF_fusions	HMF_fusions			Other																												
SMARCA5	gene	SMARCA5	HMF_fusions	HMF_fusions			Other																												
SP3	gene	SP3	HMF_fusions	HMF_fusions			Other																												
WT1	gene	WT1	HMF_fusions	HMF_fusions			Other																												
YY1	gene	YY1	HMF_fusions	HMF_fusions			Other																												
ZNF384	gene	ZNF384	HMF_fusions	HMF_fusions			Other																												
ZNF444	gene	ZNF444	HMF_fusions	HMF_fusions			Other																												
ERBB4	gene	ERBB4	HMF_fusions	HMF_fusions			Other																												
RNF216	gene	RNF216	HMF_fusions	HMF_fusions			Other																												
TACC1	gene	TACC1	HMF_fusions	HMF_fusions			Other																												
ZNF703	gene	ZNF703	HMF_fusions	HMF_fusions			Other																												
AHCYL1	gene	AHCYL1	HMF_fusions	HMF_fusions			Other																												
BICC1	gene	BICC1	HMF_fusions	HMF_fusions			Other																												
CCDC6	gene	CCDC6	HMF_fusions	HMF_fusions			Other																												
CIT	gene	CIT	HMF_fusions	HMF_fusions			Other																												
FAM76A	gene	FAM76A	HMF_fusions	HMF_fusions			Other																												
KIAA1967	gene	KIAA1967	HMF_fusions	HMF_fusions			Other																												
MGEA5	gene	MGEA5	HMF_fusions	HMF_fusions			Other																												
PPHLN1	gene	PPHLN1	HMF_fusions	HMF_fusions			Other																												
TACC3	gene	TACC3	HMF_fusions	HMF_fusions			Other																												
BAIAP2L1	gene	BAIAP2L1	HMF_fusions	HMF_fusions			Other																												
CREB3L1	gene	CREB3L1	HMF_fusions	HMF_fusions			Other																												
CREB3L2	gene	CREB3L2	HMF_fusions	HMF_fusions			Other																												
PDE8B	gene	PDE8B	HMF_fusions	HMF_fusions			Other																												
NCOA2	gene	NCOA2	HMF_fusions	HMF_fusions			Other																												
ALDH2	gene	ALDH2	HMF_fusions	HMF_fusions			Other																												
CCNB1IP1	gene	CCNB1IP1	HMF_fusions	HMF_fusions			Other																												
COX6C	gene	COX6C	HMF_fusions	HMF_fusions			Other																												
EBF1	gene	EBF1	HMF_fusions	HMF_fusions			Other																												
FHIT	gene	FHIT	HMF_fusions	HMF_fusions			Other																												
LHFP	gene	LHFP	HMF_fusions	HMF_fusions			Other																												
LPP	gene	LPP	HMF_fusions	HMF_fusions			Other																												
NFIB	gene	NFIB	HMF_fusions	HMF_fusions			Other																												
RAD51B	gene	RAD51B	HMF_fusions	HMF_fusions			Other																												
WIF1	gene	WIF1	HMF_fusions	HMF_fusions			Other																												
USH1G	gene	USH1G	HMF_fusions	HMF_fusions			Other																												
BCL2	gene	BCL2	HMF_fusions	HMF_fusions			Other																												
FGFR3	gene	FGFR3	HMF_fusions	HMF_fusions			Other																												
MYC	gene	MYC	HMF_fusions	HMF_fusions			Other																												
NKX2-1	gene	NKX2-1	HMF_fusions	HMF_fusions			Other																												
ATP8B2	gene	ATP8B2	HMF_fusions	HMF_fusions			Other																												
GAB2	gene	GAB2	HMF_fusions	HMF_fusions			Other																												
CDX1	gene	CDX1	HMF_fusions	HMF_fusions			Other																												
SUZ12	gene	SUZ12	HMF_fusions	HMF_fusions			Other																												
ABI1	gene	ABI1	HMF_fusions	HMF_fusions			Other																												
