Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
A1CF	gene	A1CF	NGC_known	NGC_known			Other																												
ABI1	gene	ABI1	NGC_known	NGC_known			Other																												
ABL1	gene	ABL1	NGC_known	NGC_known			Other																												
ABL2	gene	ABL2	NGC_known	NGC_known			Other																												
ACKR3	gene	ACKR3	NGC_known	NGC_known			Other																												
ACSL3	gene	ACSL3	NGC_known	NGC_known			Other																												
ACSL6	gene	ACSL6	NGC_known	NGC_known			Other																												
ACVR1	gene	ACVR1	NGC_known	NGC_known			Other																												
ACVR1B	gene	ACVR1B	NGC_known	NGC_known			Other																												
ACVR2A	gene	ACVR2A	NGC_known	NGC_known			Other																												
AFDN	gene	AFDN	NGC_known	NGC_known			Other																												
AFF1	gene	AFF1	NGC_known	NGC_known			Other																												
AFF3	gene	AFF3	NGC_known	NGC_known			Other																												
AFF4	gene	AFF4	NGC_known	NGC_known			Other																												
AKAP9	gene	AKAP9	NGC_known	NGC_known			Other																												
AKT1	gene	AKT1	NGC_known	NGC_known			Other																												
AKT2	gene	AKT2	NGC_known	NGC_known			Other																												
AKT3	gene	AKT3	NGC_known	NGC_known			Other																												
ALDH2	gene	ALDH2	NGC_known	NGC_known			Other																												
ALK	gene	ALK	NGC_known	NGC_known			Other																												
AMER1	gene	AMER1	NGC_known	NGC_known			Other																												
ANK1	gene	ANK1	NGC_known	NGC_known			Other																												
APC	gene	APC	NGC_known	NGC_known			Other																												
APOBEC3B	gene	APOBEC3B	NGC_known	NGC_known			Other																												
AR	gene	AR	NGC_known	NGC_known			Other																												
ARAF	gene	ARAF	NGC_known	NGC_known			Other																												
ARHGAP26	gene	ARHGAP26	NGC_known	NGC_known			Other																												
ARHGAP5	gene	ARHGAP5	NGC_known	NGC_known			Other																												
ARHGEF10	gene	ARHGEF10	NGC_known	NGC_known			Other																												
ARHGEF10L	gene	ARHGEF10L	NGC_known	NGC_known			Other																												
ARHGEF12	gene	ARHGEF12	NGC_known	NGC_known			Other																												
ARID1A	gene	ARID1A	NGC_known	NGC_known			Other																												
ARID1B	gene	ARID1B	NGC_known	NGC_known			Other																												
ARID2	gene	ARID2	NGC_known	NGC_known			Other																												
ARNT	gene	ARNT	NGC_known	NGC_known			Other																												
ASPSCR1	gene	ASPSCR1	NGC_known	NGC_known			Other																												
