Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
TP53	gene	TP53	NGC_other	NGC_other			Other																												
KRAS	gene	KRAS	NGC_other	NGC_other			Other																												
PIK3CA	gene	PIK3CA	NGC_other	NGC_other			Other																												
ARID1A	gene	ARID1A	NGC_other	NGC_other			Other																												
CDKN2A	gene	CDKN2A	NGC_other	NGC_other			Other																												
PTEN	gene	PTEN	NGC_other	NGC_other			Other																												
RB1	gene	RB1	NGC_other	NGC_other			Other																												
NRAS	gene	NRAS	NGC_other	NGC_other			Other																												
NF1	gene	NF1	NGC_other	NGC_other			Other																												
FBXW7	gene	FBXW7	NGC_other	NGC_other			Other																												
KMT2D	gene	KMT2D	NGC_other	NGC_other			Other																												
CTNNB1	gene	CTNNB1	NGC_other	NGC_other			Other																												
BRAF	gene	BRAF	NGC_other	NGC_other			Other																												
KMT2C	gene	KMT2C	NGC_other	NGC_other			Other																												
NOTCH1	gene	NOTCH1	NGC_other	NGC_other			Other																												
ATM	gene	ATM	NGC_other	NGC_other			Other																												
KDM6A	gene	KDM6A	NGC_other	NGC_other			Other																												
PIK3R1	gene	PIK3R1	NGC_other	NGC_other			Other																												
SETD2	gene	SETD2	NGC_other	NGC_other			Other																												
SMAD4	gene	SMAD4	NGC_other	NGC_other			Other																												
NFE2L2	gene	NFE2L2	NGC_other	NGC_other			Other																												
IDH1	gene	IDH1	NGC_other	NGC_other			Other																												
SF3B1	gene	SF3B1	NGC_other	NGC_other			Other																												
ARID2	gene	ARID2	NGC_other	NGC_other			Other																												
BAP1	gene	BAP1	NGC_other	NGC_other			Other																												
