Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	PMCC	PMCC			Other																												
ABL2	gene	ABL2	PMCC	PMCC			Other																												
ACVR1B	gene	ACVR1B	PMCC	PMCC			Other																												
ADA	gene	ADA	PMCC	PMCC			Other																												
ADGRA2	gene	ADGRA2	PMCC	PMCC			Other																												
AKT1	gene	AKT1	PMCC	PMCC			Other																												
AKT2	gene	AKT2	PMCC	PMCC			Other																												
AKT3	gene	AKT3	PMCC	PMCC			Other																												
ALK	gene	ALK	PMCC	PMCC			Other																												
AMER1	gene	AMER1	PMCC	PMCC			Other																												
APC	gene	APC	PMCC	PMCC			Other																												
AR	gene	AR	PMCC	PMCC			Other																												
ARAF	gene	ARAF	PMCC	PMCC			Other																												
AREG	gene	AREG	PMCC	PMCC			Other																												
ARFRP1	gene	ARFRP1	PMCC	PMCC			Other																												
ARID1A	gene	ARID1A	PMCC	PMCC			Other																												
ARID1B	gene	ARID1B	PMCC	PMCC			Other																												
ARID2	gene	ARID2	PMCC	PMCC			Other																												
ASXL1	gene	ASXL1	PMCC	PMCC			Other																												
ATM	gene	ATM	PMCC	PMCC			Other																												
ATR	gene	ATR	PMCC	PMCC			Other																												
ATRX	gene	ATRX	PMCC	PMCC			Other																												
AURKA	gene	AURKA	PMCC	PMCC			Other																												
AURKB	gene	AURKB	PMCC	PMCC			Other																												
AXIN1	gene	AXIN1	PMCC	PMCC			Other																												
AXL	gene	AXL	PMCC	PMCC			Other																												
B4GALNT1	gene	B4GALNT1	PMCC	PMCC			Other																												
BAP1	gene	BAP1	PMCC	PMCC			Other																												
BARD1	gene	BARD1	PMCC	PMCC			Other																												
BAT25	gene	BAT25	PMCC	PMCC			Other																												
BAT26	gene	BAT26	PMCC	PMCC			Other																												
BAT34C4	gene	BAT34C4	PMCC	PMCC			Other																												
BCL2	gene	BCL2	PMCC	PMCC			Other																												
BCL2L1	gene	BCL2L1	PMCC	PMCC			Other																												
BCL2L2	gene	BCL2L2	PMCC	PMCC			Other																												
BCL6	gene	BCL6	PMCC	PMCC			Other																												
BCOR	gene	BCOR	PMCC	PMCC			Other																												
BCORL1	gene	BCORL1	PMCC	PMCC			Other																												
BDNF	gene	BDNF	PMCC	PMCC			Other																												
BIRC5	gene	BIRC5	PMCC	PMCC			Other																												
BLM	gene	BLM	PMCC	PMCC			Other																												
BRAF	gene	BRAF	PMCC	PMCC			Other																												
BRCA1	gene	BRCA1	PMCC	PMCC			Other																												
BRCA2	gene	BRCA2	PMCC	PMCC			Other																												
BRD4	gene	BRD4	PMCC	PMCC			Other																												
BRIP1	gene	BRIP1	PMCC	PMCC			Other																												
BTG1	gene	BTG1	PMCC	PMCC			Other																												
BTK	gene	BTK	PMCC	PMCC			Other																												
EMSY	gene	EMSY	PMCC	PMCC			Other																												
CARD11	gene	CARD11	PMCC	PMCC			Other																												
CASP8	gene	CASP8	PMCC	PMCC			Other																												
CAT25	gene	CAT25	PMCC	PMCC			Other																												
CBFB	gene	CBFB	PMCC	PMCC			Other																												
CBL	gene	CBL	PMCC	PMCC			Other																												
CCND1	gene	CCND1	PMCC	PMCC			Other																												
CCND2	gene	CCND2	PMCC	PMCC			Other																												
CCND3	gene	CCND3	PMCC	PMCC			Other																												
CCNE1	gene	CCNE1	PMCC	PMCC			Other																												
CD19	gene	CD19	PMCC	PMCC			Other																												
CD274	gene	CD274	PMCC	PMCC			Other																												
CD33	gene	CD33	PMCC	PMCC			Other																												
CD52	gene	CD52	PMCC	PMCC			Other																												
CD79A	gene	CD79A	PMCC	PMCC			Other																												
CD79B	gene	CD79B	PMCC	PMCC			Other																												
CDC73	gene	CDC73	PMCC	PMCC			Other																												
CDH1	gene	CDH1	PMCC	PMCC			Other																												
CDK12	gene	CDK12	PMCC	PMCC			Other																												
CDK4	gene	CDK4	PMCC	PMCC			Other																												
CDK6	gene	CDK6	PMCC	PMCC			Other																												
CDK8	gene	CDK8	PMCC	PMCC			Other																												
CDKN1A	gene	CDKN1A	PMCC	PMCC			Other																												
CDKN1B	gene	CDKN1B	PMCC	PMCC			Other																												
CDKN2A	gene	CDKN2A	PMCC	PMCC			Other																												
CDKN2B	gene	CDKN2B	PMCC	PMCC			Other																												
CDKN2C	gene	CDKN2C	PMCC	PMCC			Other																												
CEBPA	gene	CEBPA	PMCC	PMCC			Other																												
CHD2	gene	CHD2	PMCC	PMCC			Other																												
CHD4	gene	CHD4	PMCC	PMCC			Other																												
CHEK1	gene	CHEK1	PMCC	PMCC			Other																												
CHEK2	gene	CHEK2	PMCC	PMCC			Other																												
CIC	gene	CIC	PMCC	PMCC			Other																												
CRABP2	gene	CRABP2	PMCC	PMCC			Other																												
CREBBP	gene	CREBBP	PMCC	PMCC			Other																												
CRKL	gene	CRKL	PMCC	PMCC			Other																												
CRLF2	gene	CRLF2	PMCC	PMCC			Other																												
CSF1R	gene	CSF1R	PMCC	PMCC			Other																												
CTCF	gene	CTCF	PMCC	PMCC			Other																												
CTNNA1	gene	CTNNA1	PMCC	PMCC			Other																												
CTNNB1	gene	CTNNB1	PMCC	PMCC			Other																												
CUL3	gene	CUL3	PMCC	PMCC			Other																												
CYLD	gene	CYLD	PMCC	PMCC			Other																												
CYP2D6	gene	CYP2D6	PMCC	PMCC			Other																												
D17S250	gene	D17S250	PMCC	PMCC			Other																												
D18S55	gene	D18S55	PMCC	PMCC			Other																												
D2S123	gene	D2S123	PMCC	PMCC			Other																												
REEP5	gene	REEP5	PMCC	PMCC			Other																												
DAXX	gene	DAXX	PMCC	PMCC			Other																												
DCK	gene	DCK	PMCC	PMCC			Other																												
DDR2	gene	DDR2	PMCC	PMCC			Other																												
DDX3X	gene	DDX3X	PMCC	PMCC			Other																												
DICER1	gene	DICER1	PMCC	PMCC			Other																												
DNMT3A	gene	DNMT3A	PMCC	PMCC			Other																												
DOT1L	gene	DOT1L	PMCC	PMCC			Other																												
DPYD	gene	DPYD	PMCC	PMCC			Other																												
EGFR	gene	EGFR	PMCC	PMCC			Other																												
EIF1AX	gene	EIF1AX	PMCC	PMCC			Other																												
EP300	gene	EP300	PMCC	PMCC			Other																												
EPHA3	gene	EPHA3	PMCC	PMCC			Other																												
EPHA5	gene	EPHA5	PMCC	PMCC			Other																												
EPHA7	gene	EPHA7	PMCC	PMCC			Other																												
EPHB1	gene	EPHB1	PMCC	PMCC			Other																												
ERBB2	gene	ERBB2	PMCC	PMCC			Other																												
ERBB3	gene	ERBB3	PMCC	PMCC			Other																												
ERBB4	gene	ERBB4	PMCC	PMCC			Other																												
ERCC1	gene	ERCC1	PMCC	PMCC			Other																												
ERCC2	gene	ERCC2	PMCC	PMCC			Other																												
EREG	gene	EREG	PMCC	PMCC			Other																												
ERG	gene	ERG	PMCC	PMCC			Other																												
ERRFI1	gene	ERRFI1	PMCC	PMCC			Other																												
ESR1	gene	ESR1	PMCC	PMCC			Other																												
EWSR1	gene	EWSR1	PMCC	PMCC			Other																												
EZH2	gene	EZH2	PMCC	PMCC			Other																												
FABP5	gene	FABP5	PMCC	PMCC			Other																												
TENT5C	gene	TENT5C	PMCC	PMCC			Other																												
FANCA	gene	FANCA	PMCC	PMCC			Other																												
FANCC	gene	FANCC	PMCC	PMCC			Other																												
FANCD2	gene	FANCD2	PMCC	PMCC			Other																												
FANCE	gene	FANCE	PMCC	PMCC			Other																												
FANCF	gene	FANCF	PMCC	PMCC			Other																												
FANCG	gene	FANCG	PMCC	PMCC			Other																												
FANCL	gene	FANCL	PMCC	PMCC			Other																												
FAS	gene	FAS	PMCC	PMCC			Other																												
FAT1	gene	FAT1	PMCC	PMCC			Other																												
FBXW7	gene	FBXW7	PMCC	PMCC			Other																												
FGF10	gene	FGF10	PMCC	PMCC			Other																												
FGF14	gene	FGF14	PMCC	PMCC			Other																												
FGF19	gene	FGF19	PMCC	PMCC			Other																												
FGF23	gene	FGF23	PMCC	PMCC			Other																												
FGF3	gene	FGF3	PMCC	PMCC			Other																												
FGF4	gene	FGF4	PMCC	PMCC			Other																												
FGF6	gene	FGF6	PMCC	PMCC			Other																												
FGFR1	gene	FGFR1	PMCC	PMCC			Other																												
FGFR2	gene	FGFR2	PMCC	PMCC			Other																												
FGFR3	gene	FGFR3	PMCC	PMCC			Other																												
FGFR4	gene	FGFR4	PMCC	PMCC			Other																												
FH	gene	FH	PMCC	PMCC			Other																												
FLCN	gene	FLCN	PMCC	PMCC			Other																												
FLT1	gene	FLT1	PMCC	PMCC			Other																												
FLT3	gene	FLT3	PMCC	PMCC			Other																												
FLT4	gene	FLT4	PMCC	PMCC			Other																												
FOLR2	gene	FOLR2	PMCC	PMCC			Other																												
FOXL2	gene	FOXL2	PMCC	PMCC			Other																												
FOXM1	gene	FOXM1	PMCC	PMCC			Other																												
FOXO1	gene	FOXO1	PMCC	PMCC			Other																												
FOXP1	gene	FOXP1	PMCC	PMCC			Other																												
FRS2	gene	FRS2	PMCC	PMCC			Other																												
FUBP1	gene	FUBP1	PMCC	PMCC			Other																												
GABRA6	gene	GABRA6	PMCC	PMCC			Other																												
GART	gene	GART	PMCC	PMCC			Other																												
GATA1	gene	GATA1	PMCC	PMCC			Other																												
GATA2	gene	GATA2	PMCC	PMCC			Other																												
GATA3	gene	GATA3	PMCC	PMCC			Other																												
GATA4	gene	GATA4	PMCC	PMCC			Other																												
GATA6	gene	GATA6	PMCC	PMCC			Other																												
GID4	gene	GID4	PMCC	PMCC			Other																												
GLI1	gene	GLI1	PMCC	PMCC			Other																												
GNA11	gene	GNA11	PMCC	PMCC			Other																												
GNA13	gene	GNA13	PMCC	PMCC			Other																												
GNAQ	gene	GNAQ	PMCC	PMCC			Other																												
GNAS	gene	GNAS	PMCC	PMCC			Other																												
GRIN2A	gene	GRIN2A	PMCC	PMCC			Other																												
GRM3	gene	GRM3	PMCC	PMCC			Other																												
GRM5	gene	GRM5	PMCC	PMCC			Other																												
GSK3B	gene	GSK3B	PMCC	PMCC			Other																												
GSTP1	gene	GSTP1	PMCC	PMCC			Other																												
H3F3A	gene	H3F3A	PMCC	PMCC			Other																												
HGF	gene	HGF	PMCC	PMCC			Other																												
HIF1A	gene	HIF1A	PMCC	PMCC			Other																												
HNF1A	gene	HNF1A	PMCC	PMCC			Other																												
HRAS	gene	HRAS	PMCC	PMCC			Other																												
HSD3B1	gene	HSD3B1	PMCC	PMCC			Other																												
HSP90AA1	gene	HSP90AA1	PMCC	PMCC			Other																												
IDH1	gene	IDH1	PMCC	PMCC			Other																												
IDH2	gene	IDH2	PMCC	PMCC			Other																												
IGF1	gene	IGF1	PMCC	PMCC			Other																												
IGF1R	gene	IGF1R	PMCC	PMCC			Other																												
IGF2	gene	IGF2	PMCC	PMCC			Other																												
IKBKE	gene	IKBKE	PMCC	PMCC			Other																												
IKZF1	gene	IKZF1	PMCC	PMCC			Other																												
IL2RA	gene	IL2RA	PMCC	PMCC			Other																												
IL7R	gene	IL7R	PMCC	PMCC			Other																												
INHBA	gene	INHBA	PMCC	PMCC			Other																												
INPP4B	gene	INPP4B	PMCC	PMCC			Other																												
IRF2	gene	IRF2	PMCC	PMCC			Other																												
IRF4	gene	IRF4	PMCC	PMCC			Other																												
IRF7	gene	IRF7	PMCC	PMCC			Other																												
IRS2	gene	IRS2	PMCC	PMCC			Other																												
JAK1	gene	JAK1	PMCC	PMCC			Other																												
JAK2	gene	JAK2	PMCC	PMCC			Other																												
JAK3	gene	JAK3	PMCC	PMCC			Other																												
JUN	gene	JUN	PMCC	PMCC			Other																												
KAT6A	gene	KAT6A	PMCC	PMCC			Other																												
KDM5A	gene	KDM5A	PMCC	PMCC			Other																												
KDM5C	gene	KDM5C	PMCC	PMCC			Other																												
KDM6A	gene	KDM6A	PMCC	PMCC			Other																												
KDR	gene	KDR	PMCC	PMCC			Other																												
KEAP1	gene	KEAP1	PMCC	PMCC			Other																												
KEL	gene	KEL	PMCC	PMCC			Other																												
KIT	gene	KIT	PMCC	PMCC			Other																												
KLHL6	gene	KLHL6	PMCC	PMCC			Other																												
KMT2A	gene	KMT2A	PMCC	PMCC			Other																												
KMT2C	gene	KMT2C	PMCC	PMCC			Other																												
KMT2D	gene	KMT2D	PMCC	PMCC			Other																												
KNSTRN	gene	KNSTRN	PMCC	PMCC			Other																												
KRAS	gene	KRAS	PMCC	PMCC			Other																												
LRP1B	gene	LRP1B	PMCC	PMCC			Other																												
LYN	gene	LYN	PMCC	PMCC			Other																												
LZTR1	gene	LZTR1	PMCC	PMCC			Other																												
MAGI2	gene	MAGI2	PMCC	PMCC			Other																												
MAP2K1	gene	MAP2K1	PMCC	PMCC			Other																												
MAP2K2	gene	MAP2K2	PMCC	PMCC			Other																												
MAP2K4	gene	MAP2K4	PMCC	PMCC			Other																												
MAP3K1	gene	MAP3K1	PMCC	PMCC			Other																												
MAPK1	gene	MAPK1	PMCC	PMCC			Other																												
MAPK13	gene	MAPK13	PMCC	PMCC			Other																												
MAPK3	gene	MAPK3	PMCC	PMCC			Other																												
MCL1	gene	MCL1	PMCC	PMCC			Other																												
MDM2	gene	MDM2	PMCC	PMCC			Other																												
MDM4	gene	MDM4	PMCC	PMCC			Other																												
MED12	gene	MED12	PMCC	PMCC			Other																												
MEF2B	gene	MEF2B	PMCC	PMCC			Other																												
MEN1	gene	MEN1	PMCC	PMCC			Other																												
MET	gene	MET	PMCC	PMCC			Other																												
MGMT	gene	MGMT	PMCC	PMCC			Other																												
MITF	gene	MITF	PMCC	PMCC			Other																												
MLH1	gene	MLH1	PMCC	PMCC			Other																												
MONO27	gene	MONO27	PMCC	PMCC			Other																												
MPL	gene	MPL	PMCC	PMCC			Other																												
MRE11	gene	MRE11	PMCC	PMCC			Other																												
MRPS31	gene	MRPS31	PMCC	PMCC			Other																												
MS4A1	gene	MS4A1	PMCC	PMCC			Other																												
MSH2	gene	MSH2	PMCC	PMCC			Other																												
MSH6	gene	MSH6	PMCC	PMCC			Other																												
MTOR	gene	MTOR	PMCC	PMCC			Other																												
MUTYH	gene	MUTYH	PMCC	PMCC			Other																												
MYB	gene	MYB	PMCC	PMCC			Other																												
MYC	gene	MYC	PMCC	PMCC			Other																												
MYCL	gene	MYCL	PMCC	PMCC			Other																												
MYCN	gene	MYCN	PMCC	PMCC			Other																												
MYD88	gene	MYD88	PMCC	PMCC			Other																												
NF1	gene	NF1	PMCC	PMCC			Other																												
NF2	gene	NF2	PMCC	PMCC			Other																												
NFE2L2	gene	NFE2L2	PMCC	PMCC			Other																												
NFKB1	gene	NFKB1	PMCC	PMCC			Other																												
NFKBIA	gene	NFKBIA	PMCC	PMCC			Other																												
NKX2-1	gene	NKX2-1	PMCC	PMCC			Other																												
NOTCH1	gene	NOTCH1	PMCC	PMCC			Other																												
NOTCH2	gene	NOTCH2	PMCC	PMCC			Other																												
NOTCH3	gene	NOTCH3	PMCC	PMCC			Other																												
NPM1	gene	NPM1	PMCC	PMCC			Other																												
NR21	gene	NR21	PMCC	PMCC			Other																												
NR22	gene	NR22	PMCC	PMCC			Other																												
NR24	gene	NR24	PMCC	PMCC			Other																												
NR27	gene	NR27	PMCC	PMCC			Other																												
NRAS	gene	NRAS	PMCC	PMCC			Other																												
NSD1	gene	NSD1	PMCC	PMCC			Other																												
NTRK1	gene	NTRK1	PMCC	PMCC			Other																												
NTRK2	gene	NTRK2	PMCC	PMCC			Other																												
NTRK3	gene	NTRK3	PMCC	PMCC			Other																												
NUP93	gene	NUP93	PMCC	PMCC			Other																												
NUTM1	gene	NUTM1	PMCC	PMCC			Other																												
OGFR	gene	OGFR	PMCC	PMCC			Other																												
PAK3	gene	PAK3	PMCC	PMCC			Other																												
PALB2	gene	PALB2	PMCC	PMCC			Other																												
PRKN	gene	PRKN	PMCC	PMCC			Other																												
PARP1	gene	PARP1	PMCC	PMCC			Other																												
PAX5	gene	PAX5	PMCC	PMCC			Other																												
PBRM1	gene	PBRM1	PMCC	PMCC			Other																												
PCDHGA1	gene	PCDHGA1	PMCC	PMCC			Other																												
PDCD1LG2	gene	PDCD1LG2	PMCC	PMCC			Other																												
PDGFB	gene	PDGFB	PMCC	PMCC			Other																												
PDGFRA	gene	PDGFRA	PMCC	PMCC			Other																												
PDGFRB	gene	PDGFRB	PMCC	PMCC			Other																												
PDK1	gene	PDK1	PMCC	PMCC			Other																												
PGP	gene	PGP	PMCC	PMCC			Other																												
PGR	gene	PGR	PMCC	PMCC			Other																												
PIK3C2B	gene	PIK3C2B	PMCC	PMCC			Other																												
PIK3CA	gene	PIK3CA	PMCC	PMCC			Other																												
PIK3CB	gene	PIK3CB	PMCC	PMCC			Other																												
PIK3CG	gene	PIK3CG	PMCC	PMCC			Other																												
PIK3R1	gene	PIK3R1	PMCC	PMCC			Other																												
PIK3R2	gene	PIK3R2	PMCC	PMCC			Other																												
PLCG2	gene	PLCG2	PMCC	PMCC			Other																												
PLK1	gene	PLK1	PMCC	PMCC			Other																												
PMS2	gene	PMS2	PMCC	PMCC			Other																												
PNP	gene	PNP	PMCC	PMCC			Other																												
POLA1	gene	POLA1	PMCC	PMCC			Other																												
POLD1	gene	POLD1	PMCC	PMCC			Other																												
POLE	gene	POLE	PMCC	PMCC			Other																												
PPP2R1A	gene	PPP2R1A	PMCC	PMCC			Other																												
PPP6C	gene	PPP6C	PMCC	PMCC			Other																												
PREX2	gene	PREX2	PMCC	PMCC			Other																												
PRKAR1A	gene	PRKAR1A	PMCC	PMCC			Other																												
PRKCI	gene	PRKCI	PMCC	PMCC			Other																												
PRKDC	gene	PRKDC	PMCC	PMCC			Other																												
PRSS8	gene	PRSS8	PMCC	PMCC			Other																												
PTCH1	gene	PTCH1	PMCC	PMCC			Other																												
PTEN	gene	PTEN	PMCC	PMCC			Other																												
PTGS2	gene	PTGS2	PMCC	PMCC			Other																												
PTPN11	gene	PTPN11	PMCC	PMCC			Other																												
QKI	gene	QKI	PMCC	PMCC			Other																												
RAB35	gene	RAB35	PMCC	PMCC			Other																												
RAC1	gene	RAC1	PMCC	PMCC			Other																												
RAD50	gene	RAD50	PMCC	PMCC			Other																												
RAD51	gene	RAD51	PMCC	PMCC			Other																												
RAF1	gene	RAF1	PMCC	PMCC			Other																												
RANBP2	gene	RANBP2	PMCC	PMCC			Other																												
RARA	gene	RARA	PMCC	PMCC			Other																												
RASA2	gene	RASA2	PMCC	PMCC			Other																												
RB1	gene	RB1	PMCC	PMCC			Other																												
RBM10	gene	RBM10	PMCC	PMCC			Other																												
RET	gene	RET	PMCC	PMCC			Other																												
RHEB	gene	RHEB	PMCC	PMCC			Other																												
RICTOR	gene	RICTOR	PMCC	PMCC			Other																												
RNF169	gene	RNF169	PMCC	PMCC			Other																												
RNF43	gene	RNF43	PMCC	PMCC			Other																												
ROS1	gene	ROS1	PMCC	PMCC			Other																												
RPS27	gene	RPS27	PMCC	PMCC			Other																												
RPTOR	gene	RPTOR	PMCC	PMCC			Other																												
CNOT9	gene	CNOT9	PMCC	PMCC			Other																												
RRM1	gene	RRM1	PMCC	PMCC			Other																												
RSPO2	gene	RSPO2	PMCC	PMCC			Other																												
RSPO3	gene	RSPO3	PMCC	PMCC			Other																												
RUNX1	gene	RUNX1	PMCC	PMCC			Other																												
RUNX1T1	gene	RUNX1T1	PMCC	PMCC			Other																												
RXRB	gene	RXRB	PMCC	PMCC			Other																												
SDHA	gene	SDHA	PMCC	PMCC			Other																												
SDHB	gene	SDHB	PMCC	PMCC			Other																												
SDHC	gene	SDHC	PMCC	PMCC			Other																												
SDHD	gene	SDHD	PMCC	PMCC			Other																												
SERPINB3	gene	SERPINB3	PMCC	PMCC			Other																												
SETD2	gene	SETD2	PMCC	PMCC			Other																												
SF3B1	gene	SF3B1	PMCC	PMCC			Other																												
SHH	gene	SHH	PMCC	PMCC			Other																												
SLIT2	gene	SLIT2	PMCC	PMCC			Other																												
SMAD2	gene	SMAD2	PMCC	PMCC			Other																												
SMAD3	gene	SMAD3	PMCC	PMCC			Other																												
SMAD4	gene	SMAD4	PMCC	PMCC			Other																												
SMARCA4	gene	SMARCA4	PMCC	PMCC			Other																												
SMARCB1	gene	SMARCB1	PMCC	PMCC			Other																												
SMO	gene	SMO	PMCC	PMCC			Other																												
SNCAIP	gene	SNCAIP	PMCC	PMCC			Other																												
