Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABCB1	gene	ABCB1	TEMPUS	TEMPUS			Other																												
ABCC3	gene	ABCC3	TEMPUS	TEMPUS			Other																												
ABL1	gene	ABL1	TEMPUS	TEMPUS			Other																												
ABL2	gene	ABL2	TEMPUS	TEMPUS			Other																												
ABRAXAS1	gene	ABRAXAS1	TEMPUS	TEMPUS			Other																												
ACTA2	gene	ACTA2	TEMPUS	TEMPUS			Other																												
ACVR1B	gene	ACVR1B	TEMPUS	TEMPUS			Other																												
AJUBA	gene	AJUBA	TEMPUS	TEMPUS			Other																												
AKT1	gene	AKT1	TEMPUS	TEMPUS			Other																												
AKT2	gene	AKT2	TEMPUS	TEMPUS			Other																												
AKT3	gene	AKT3	TEMPUS	TEMPUS			Other																												
ALK	gene	ALK	TEMPUS	TEMPUS			Other																												
AMER1	gene	AMER1	TEMPUS	TEMPUS			Other																												
APC	gene	APC	TEMPUS	TEMPUS			Other																												
APOB	gene	APOB	TEMPUS	TEMPUS			Other																												
AR	gene	AR	TEMPUS	TEMPUS			Other																												
ARAF	gene	ARAF	TEMPUS	TEMPUS			Other																												
ARHGAP26	gene	ARHGAP26	TEMPUS	TEMPUS			Other																												
ARHGAP35	gene	ARHGAP35	TEMPUS	TEMPUS			Other																												
ARID1A	gene	ARID1A	TEMPUS	TEMPUS			Other																												
ARID1B	gene	ARID1B	TEMPUS	TEMPUS			Other																												
ARID2	gene	ARID2	TEMPUS	TEMPUS			Other																												
ARID5B	gene	ARID5B	TEMPUS	TEMPUS			Other																												
ASNS	gene	ASNS	TEMPUS	TEMPUS			Other																												
ASXL1	gene	ASXL1	TEMPUS	TEMPUS			Other																												
ATIC	gene	ATIC	TEMPUS	TEMPUS			Other																												
ATM	gene	ATM	TEMPUS	TEMPUS			Other																												
ATP7B	gene	ATP7B	TEMPUS	TEMPUS			Other																												
ATR	gene	ATR	TEMPUS	TEMPUS			Other																												
ATRX	gene	ATRX	TEMPUS	TEMPUS			Other																												
AURKA	gene	AURKA	TEMPUS	TEMPUS			Other																												
AURKB	gene	AURKB	TEMPUS	TEMPUS			Other																												
AXIN1	gene	AXIN1	TEMPUS	TEMPUS			Other																												
AXIN2	gene	AXIN2	TEMPUS	TEMPUS			Other																												
AXL	gene	AXL	TEMPUS	TEMPUS			Other																												
B2M	gene	B2M	TEMPUS	TEMPUS			Other																												
BAP1	gene	BAP1	TEMPUS	TEMPUS			Other																												
BARD1	gene	BARD1	TEMPUS	TEMPUS			Other																												
BCL10	gene	BCL10	TEMPUS	TEMPUS			Other																												
BCL11B	gene	BCL11B	TEMPUS	TEMPUS			Other																												
BCL2	gene	BCL2	TEMPUS	TEMPUS			Other																												
BCL2L1	gene	BCL2L1	TEMPUS	TEMPUS			Other																												
BCL2L11	gene	BCL2L11	TEMPUS	TEMPUS			Other																												
BCL6	gene	BCL6	TEMPUS	TEMPUS			Other																												
BCL7A	gene	BCL7A	TEMPUS	TEMPUS			Other																												
BCLAF1	gene	BCLAF1	TEMPUS	TEMPUS			Other																												
BCOR	gene	BCOR	TEMPUS	TEMPUS			Other																												
BCORL1	gene	BCORL1	TEMPUS	TEMPUS			Other																												
