Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	TS500	TS500			Other																												
ABL2	gene	ABL2	TS500	TS500			Other																												
ABRAXAS1	gene	ABRAXAS1	TS500	TS500			Other																												
ACVR1	gene	ACVR1	TS500	TS500			Other																												
ACVR1B	gene	ACVR1B	TS500	TS500			Other																												
ADGRA2	gene	ADGRA2	TS500	TS500			Other																												
AKT1	gene	AKT1	TS500	TS500			Other																												
AKT2	gene	AKT2	TS500	TS500			Other																												
AKT3	gene	AKT3	TS500	TS500			Other																												
ALK	gene	ALK	TS500	TS500			Other																												
ALOX12B	gene	ALOX12B	TS500	TS500			Other																												
AMER1	gene	AMER1	TS500	TS500			Other																												
ANKRD11	gene	ANKRD11	TS500	TS500			Other																												
ANKRD26	gene	ANKRD26	TS500	TS500			Other																												
APC	gene	APC	TS500	TS500			Other																												
AR	gene	AR	TS500	TS500			Other																												
ARAF	gene	ARAF	TS500	TS500			Other																												
ARFRP1	gene	ARFRP1	TS500	TS500			Other																												
ARID1A	gene	ARID1A	TS500	TS500			Other																												
ARID1B	gene	ARID1B	TS500	TS500			Other																												
ARID2	gene	ARID2	TS500	TS500			Other																												
ARID5B	gene	ARID5B	TS500	TS500			Other																												
ASXL1	gene	ASXL1	TS500	TS500			Other																												
ASXL2	gene	ASXL2	TS500	TS500			Other																												
ATM	gene	ATM	TS500	TS500			Other																												
ATR	gene	ATR	TS500	TS500			Other																												
ATRX	gene	ATRX	TS500	TS500			Other																												
AURKA	gene	AURKA	TS500	TS500			Other																												
AURKB	gene	AURKB	TS500	TS500			Other																												
AXIN1	gene	AXIN1	TS500	TS500			Other																												
AXIN2	gene	AXIN2	TS500	TS500			Other																												
AXL	gene	AXL	TS500	TS500			Other																												
B2M	gene	B2M	TS500	TS500			Other																												
BAP1	gene	BAP1	TS500	TS500			Other																												
BARD1	gene	BARD1	TS500	TS500			Other																												
BBC3	gene	BBC3	TS500	TS500			Other																												
BCL10	gene	BCL10	TS500	TS500			Other																												
BCL2	gene	BCL2	TS500	TS500			Other																												
BCL2L1	gene	BCL2L1	TS500	TS500			Other																												
BCL2L11	gene	BCL2L11	TS500	TS500			Other																												
BCL2L2	gene	BCL2L2	TS500	TS500			Other																												
BCL6	gene	BCL6	TS500	TS500			Other																												
BCOR	gene	BCOR	TS500	TS500			Other																												
BCORL1	gene	BCORL1	TS500	TS500			Other																												
BCR	gene	BCR	TS500	TS500			Other																												
BIRC3	gene	BIRC3	TS500	TS500			Other																												
BLM	gene	BLM	TS500	TS500			Other																												
BMPR1A	gene	BMPR1A	TS500	TS500			Other																												
BRAF	gene	BRAF	TS500	TS500			Other																												
BRCA1	gene	BRCA1	TS500	TS500			Other																												
BRCA2	gene	BRCA2	TS500	TS500			Other																												
BRD4	gene	BRD4	TS500	TS500			Other																												
BRIP1	gene	BRIP1	TS500	TS500			Other																												
BTG1	gene	BTG1	TS500	TS500			Other																												
BTK	gene	BTK	TS500	TS500			Other																												
CALR	gene	CALR	TS500	TS500			Other																												
CARD11	gene	CARD11	TS500	TS500			Other																												
CASP8	gene	CASP8	TS500	TS500			Other																												
CBFB	gene	CBFB	TS500	TS500			Other																												
CBL	gene	CBL	TS500	TS500			Other																												
CCN6	gene	CCN6	TS500	TS500			Other																												
CCND1	gene	CCND1	TS500	TS500			Other																												
CCND2	gene	CCND2	TS500	TS500			Other																												
CCND3	gene	CCND3	TS500	TS500			Other																												
CCNE1	gene	CCNE1	TS500	TS500			Other																												
CD274	gene	CD274	TS500	TS500			Other																												
CD276	gene	CD276	TS500	TS500			Other																												
CD74	gene	CD74	TS500	TS500			Other																												
CD79A	gene	CD79A	TS500	TS500			Other																												
CD79B	gene	CD79B	TS500	TS500			Other																												
CDC73	gene	CDC73	TS500	TS500			Other																												
CDH1	gene	CDH1	TS500	TS500			Other																												
CDK12	gene	CDK12	TS500	TS500			Other																												
CDK4	gene	CDK4	TS500	TS500			Other																												
CDK6	gene	CDK6	TS500	TS500			Other																												
CDK8	gene	CDK8	TS500	TS500			Other																												
CDKN1A	gene	CDKN1A	TS500	TS500			Other																												
CDKN1B	gene	CDKN1B	TS500	TS500			Other																												
CDKN2A	gene	CDKN2A	TS500	TS500			Other																												
CDKN2B	gene	CDKN2B	TS500	TS500			Other																												
CDKN2C	gene	CDKN2C	TS500	TS500			Other																												
CEBPA	gene	CEBPA	TS500	TS500			Other																												
CENPA	gene	CENPA	TS500	TS500			Other																												
CHD2	gene	CHD2	TS500	TS500			Other																												
CHD4	gene	CHD4	TS500	TS500			Other																												
CHEK1	gene	CHEK1	TS500	TS500			Other																												
CHEK2	gene	CHEK2	TS500	TS500			Other																												
CIC	gene	CIC	TS500	TS500			Other																												
COP1	gene	COP1	TS500	TS500			Other																												
CREBBP	gene	CREBBP	TS500	TS500			Other																												
CRKL	gene	CRKL	TS500	TS500			Other																												
CRLF2	gene	CRLF2	TS500	TS500			Other																												
CSF1R	gene	CSF1R	TS500	TS500			Other																												
CSF3R	gene	CSF3R	TS500	TS500			Other																												
CSNK1A1	gene	CSNK1A1	TS500	TS500			Other																												
CTCF	gene	CTCF	TS500	TS500			Other																												
CTLA4	gene	CTLA4	TS500	TS500			Other																												
CTNNA1	gene	CTNNA1	TS500	TS500			Other																												
CTNNB1	gene	CTNNB1	TS500	TS500			Other																												
CUL3	gene	CUL3	TS500	TS500			Other																												
CUX1	gene	CUX1	TS500	TS500			Other																												
CXCR4	gene	CXCR4	TS500	TS500			Other																												
CYLD	gene	CYLD	TS500	TS500			Other																												
DAXX	gene	DAXX	TS500	TS500			Other																												
DCUN1D1	gene	DCUN1D1	TS500	TS500			Other																												
DDR2	gene	DDR2	TS500	TS500			Other																												
DDX41	gene	DDX41	TS500	TS500			Other																												
DHX15	gene	DHX15	TS500	TS500			Other																												
DICER1	gene	DICER1	TS500	TS500			Other																												
DIS3	gene	DIS3	TS500	TS500			Other																												
DNAJB1	gene	DNAJB1	TS500	TS500			Other																												
DNMT1	gene	DNMT1	TS500	TS500			Other																												
DNMT3A	gene	DNMT3A	TS500	TS500			Other																												
DNMT3B	gene	DNMT3B	TS500	TS500			Other																												
DOT1L	gene	DOT1L	TS500	TS500			Other																												
E2F3	gene	E2F3	TS500	TS500			Other																												
EED	gene	EED	TS500	TS500			Other																												
EGFL7	gene	EGFL7	TS500	TS500			Other																												
EGFR	gene	EGFR	TS500	TS500			Other																												
EIF1AX	gene	EIF1AX	TS500	TS500			Other																												
EIF4A2	gene	EIF4A2	TS500	TS500			Other																												
EIF4E	gene	EIF4E	TS500	TS500			Other																												
ELOC	gene	ELOC	TS500	TS500			Other																												
EML4	gene	EML4	TS500	TS500			Other																												
