Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	cancermine	cancermine			Other																												
AKT1	gene	AKT1	cancermine	cancermine			Other																												
ALK	gene	ALK	cancermine	cancermine			Other																												
APC	gene	APC	cancermine	cancermine			Other																												
AR	gene	AR	cancermine	cancermine			Other																												
ARID1A	gene	ARID1A	cancermine	cancermine			Other																												
ARTN	gene	ARTN	cancermine	cancermine			Other																												
ATF2	gene	ATF2	cancermine	cancermine			Other																												
ATF3	gene	ATF3	cancermine	cancermine			Other																												
ATM	gene	ATM	cancermine	cancermine			Other																												
AURKA	gene	AURKA	cancermine	cancermine			Other																												
BAP1	gene	BAP1	cancermine	cancermine			Other																												
BCL2	gene	BCL2	cancermine	cancermine			Other																												
BCL6	gene	BCL6	cancermine	cancermine			Other																												
BCL6B	gene	BCL6B	cancermine	cancermine			Other																												
BCL9	gene	BCL9	cancermine	cancermine			Other																												
BCR	gene	BCR	cancermine	cancermine			Other																												
BECN1	gene	BECN1	cancermine	cancermine			Other																												
BMI1	gene	BMI1	cancermine	cancermine			Other																												
BRAF	gene	BRAF	cancermine	cancermine			Other																												
BRCA1	gene	BRCA1	cancermine	cancermine			Other																												
BRCA2	gene	BRCA2	cancermine	cancermine			Other																												
BRINP1	gene	BRINP1	cancermine	cancermine			Other																												
C2orf40	gene	C2orf40	cancermine	cancermine			Other																												
CADM1	gene	CADM1	cancermine	cancermine			Other																												
CALR	gene	CALR	cancermine	cancermine			Other																												
CAMTA1	gene	CAMTA1	cancermine	cancermine			Other																												
CBL	gene	CBL	cancermine	cancermine			Other																												
CCND1	gene	CCND1	cancermine	cancermine			Other																												
CD274	gene	CD274	cancermine	cancermine			Other																												
CDC73	gene	CDC73	cancermine	cancermine			Other																												
CDH1	gene	CDH1	cancermine	cancermine			Other																												
CDH17	gene	CDH17	cancermine	cancermine			Other																												
CDK16	gene	CDK16	cancermine	cancermine			Other																												
CDK4	gene	CDK4	cancermine	cancermine			Other																												
CDK8	gene	CDK8	cancermine	cancermine			Other																												
CDKN1A	gene	CDKN1A	cancermine	cancermine			Other																												
CDKN1B	gene	CDKN1B	cancermine	cancermine			Other																												
CDKN2A	gene	CDKN2A	cancermine	cancermine			Other																												
CDKN2B	gene	CDKN2B	cancermine	cancermine			Other																												
CDKN2C	gene	CDKN2C	cancermine	cancermine			Other																												
CDX2	gene	CDX2	cancermine	cancermine			Other																												
CHD5	gene	CHD5	cancermine	cancermine			Other																												
CRKL	gene	CRKL	cancermine	cancermine			Other																												
CRNDE	gene	CRNDE	cancermine	cancermine			Other																												
CSF1R	gene	CSF1R	cancermine	cancermine			Other																												
CTCF	gene	CTCF	cancermine	cancermine			Other																												
CTNNB1	gene	CTNNB1	cancermine	cancermine			Other																												
CYR61	gene	CYR61	cancermine	cancermine			Other																												
DAB2	gene	DAB2	cancermine	cancermine			Other																												
