Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABI1	gene	ABI1	cosmic1	cosmic1			Other																												
ABL1	gene	ABL1	cosmic1	cosmic1			Other																												
ABL2	gene	ABL2	cosmic1	cosmic1			Other																												
ACKR3	gene	ACKR3	cosmic1	cosmic1			Other																												
ACSL3	gene	ACSL3	cosmic1	cosmic1			Other																												
ACVR1	gene	ACVR1	cosmic1	cosmic1			Other																												
ACVR2A	gene	ACVR2A	cosmic1	cosmic1			Other																												
AFF1	gene	AFF1	cosmic1	cosmic1			Other																												
AFF3	gene	AFF3	cosmic1	cosmic1			Other																												
AFF4	gene	AFF4	cosmic1	cosmic1			Other																												
AKT1	gene	AKT1	cosmic1	cosmic1			Other																												
AKT2	gene	AKT2	cosmic1	cosmic1			Other																												
ALK	gene	ALK	cosmic1	cosmic1			Other																												
AMER1	gene	AMER1	cosmic1	cosmic1			Other																												
APC	gene	APC	cosmic1	cosmic1			Other																												
APOBEC3B	gene	APOBEC3B	cosmic1	cosmic1			Other																												
AR	gene	AR	cosmic1	cosmic1			Other																												
ARHGAP26	gene	ARHGAP26	cosmic1	cosmic1			Other																												
ARHGEF12	gene	ARHGEF12	cosmic1	cosmic1			Other																												
ARID1A	gene	ARID1A	cosmic1	cosmic1			Other																												
ARID1B	gene	ARID1B	cosmic1	cosmic1			Other																												
ARID2	gene	ARID2	cosmic1	cosmic1			Other																												
ARNT	gene	ARNT	cosmic1	cosmic1			Other																												
ASPSCR1	gene	ASPSCR1	cosmic1	cosmic1			Other																												
ASXL1	gene	ASXL1	cosmic1	cosmic1			Other																												
ATF1	gene	ATF1	cosmic1	cosmic1			Other																												
ATIC	gene	ATIC	cosmic1	cosmic1			Other																												
ATM	gene	ATM	cosmic1	cosmic1			Other																												
ATP1A1	gene	ATP1A1	cosmic1	cosmic1			Other																												
ATP2B3	gene	ATP2B3	cosmic1	cosmic1			Other																												
ATR	gene	ATR	cosmic1	cosmic1			Other																												
ATRX	gene	ATRX	cosmic1	cosmic1			Other																												
AXIN1	gene	AXIN1	cosmic1	cosmic1			Other																												
AXIN2	gene	AXIN2	cosmic1	cosmic1			Other																												
B2M	gene	B2M	cosmic1	cosmic1			Other																												
BAP1	gene	BAP1	cosmic1	cosmic1			Other																												
BARD1	gene	BARD1	cosmic1	cosmic1			Other																												
BAX	gene	BAX	cosmic1	cosmic1			Other																												
BCL10	gene	BCL10	cosmic1	cosmic1			Other																												
BCL11A	gene	BCL11A	cosmic1	cosmic1			Other																												
BCL11B	gene	BCL11B	cosmic1	cosmic1			Other																												
BCL2	gene	BCL2	cosmic1	cosmic1			Other																												
BCL3	gene	BCL3	cosmic1	cosmic1			Other																												
BCL6	gene	BCL6	cosmic1	cosmic1			Other																												
BCL7A	gene	BCL7A	cosmic1	cosmic1			Other																												
BCL9	gene	BCL9	cosmic1	cosmic1			Other																												
BCL9L	gene	BCL9L	cosmic1	cosmic1			Other																												
BCOR	gene	BCOR	cosmic1	cosmic1			Other																												
BCORL1	gene	BCORL1	cosmic1	cosmic1			Other																												
BCR	gene	BCR	cosmic1	cosmic1			Other																												
BIRC3	gene	BIRC3	cosmic1	cosmic1			Other																												
BLM	gene	BLM	cosmic1	cosmic1			Other																												
BMPR1A	gene	BMPR1A	cosmic1	cosmic1			Other																												
BRAF	gene	BRAF	cosmic1	cosmic1			Other																												
BRCA1	gene	BRCA1	cosmic1	cosmic1			Other																												
BRCA2	gene	BRCA2	cosmic1	cosmic1			Other																												
BRD3	gene	BRD3	cosmic1	cosmic1			Other																												
BRD4	gene	BRD4	cosmic1	cosmic1			Other																												
BRIP1	gene	BRIP1	cosmic1	cosmic1			Other																												
BTG1	gene	BTG1	cosmic1	cosmic1			Other																												
BTK	gene	BTK	cosmic1	cosmic1			Other																												
BUB1B	gene	BUB1B	cosmic1	cosmic1			Other																												
C2orf44	gene	C2orf44	cosmic1	cosmic1			Other																												
CACNA1D	gene	CACNA1D	cosmic1	cosmic1			Other																												
CALR	gene	CALR	cosmic1	cosmic1			Other																												
CAMTA1	gene	CAMTA1	cosmic1	cosmic1			Other																												
CANT1	gene	CANT1	cosmic1	cosmic1			Other																												
CARD11	gene	CARD11	cosmic1	cosmic1			Other																												
CARS	gene	CARS	cosmic1	cosmic1			Other																												
CASC5	gene	CASC5	cosmic1	cosmic1			Other																												
CASP8	gene	CASP8	cosmic1	cosmic1			Other																												
