Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	foundation_one	foundation_one			Other																												
ABL2	gene	ABL2	foundation_one	foundation_one			Other																												
ACVR1B	gene	ACVR1B	foundation_one	foundation_one			Other																												
AKT1	gene	AKT1	foundation_one	foundation_one			Other																												
AKT2	gene	AKT2	foundation_one	foundation_one			Other																												
ALK	gene	ALK	foundation_one	foundation_one			Other																												
APC	gene	APC	foundation_one	foundation_one			Other																												
FAS	gene	FAS	foundation_one	foundation_one			Other																												
AR	gene	AR	foundation_one	foundation_one			Other																												
ARAF	gene	ARAF	foundation_one	foundation_one			Other																												
ATM	gene	ATM	foundation_one	foundation_one			Other																												
ATR	gene	ATR	foundation_one	foundation_one			Other																												
ATRX	gene	ATRX	foundation_one	foundation_one			Other																												
AXL	gene	AXL	foundation_one	foundation_one			Other																												
BARD1	gene	BARD1	foundation_one	foundation_one			Other																												
CCND1	gene	CCND1	foundation_one	foundation_one			Other																												
BCL2	gene	BCL2	foundation_one	foundation_one			Other																												
BCL2L1	gene	BCL2L1	foundation_one	foundation_one			Other																												
BCL2L2	gene	BCL2L2	foundation_one	foundation_one			Other																												
BCR	gene	BCR	foundation_one	foundation_one			Other																												
PRDM1	gene	PRDM1	foundation_one	foundation_one			Other																												
BLM	gene	BLM	foundation_one	foundation_one			Other																												
FOXL2	gene	FOXL2	foundation_one	foundation_one			Other																												
BRCA1	gene	BRCA1	foundation_one	foundation_one			Other																												
BRAF	gene	BRAF	foundation_one	foundation_one			Other																												
BRCA2	gene	BRCA2	foundation_one	foundation_one			Other																												
BTG1	gene	BTG1	foundation_one	foundation_one			Other																												
BTK	gene	BTK	foundation_one	foundation_one			Other																												
CALR	gene	CALR	foundation_one	foundation_one			Other																												
RUNX1	gene	RUNX1	foundation_one	foundation_one			Other																												
RUNX1T1	gene	RUNX1T1	foundation_one	foundation_one			Other																												
CBFB	gene	CBFB	foundation_one	foundation_one			Other																												
CBL	gene	CBL	foundation_one	foundation_one			Other																												
CCND2	gene	CCND2	foundation_one	foundation_one			Other																												
CCND3	gene	CCND3	foundation_one	foundation_one			Other																												
CCNE1	gene	CCNE1	foundation_one	foundation_one			Other																												
CD79A	gene	CD79A	foundation_one	foundation_one			Other																												
CD79B	gene	CD79B	foundation_one	foundation_one			Other																												
CDH1	gene	CDH1	foundation_one	foundation_one			Other																												
CDK4	gene	CDK4	foundation_one	foundation_one			Other																												
CDK6	gene	CDK6	foundation_one	foundation_one			Other																												
CDK8	gene	CDK8	foundation_one	foundation_one			Other																												
CDKN1A	gene	CDKN1A	foundation_one	foundation_one			Other																												
CDKN1B	gene	CDKN1B	foundation_one	foundation_one			Other																												
CDKN2A	gene	CDKN2A	foundation_one	foundation_one			Other																												
CDKN2B	gene	CDKN2B	foundation_one	foundation_one			Other																												
CDKN2C	gene	CDKN2C	foundation_one	foundation_one			Other																												
CEBPA	gene	CEBPA	foundation_one	foundation_one			Other																												
CHD2	gene	CHD2	foundation_one	foundation_one			Other																												
CHD4	gene	CHD4	foundation_one	foundation_one			Other																												
CHEK1	gene	CHEK1	foundation_one	foundation_one			Other																												
CREBBP	gene	CREBBP	foundation_one	foundation_one			Other																												
CRKL	gene	CRKL	foundation_one	foundation_one			Other																												
CSF1R	gene	CSF1R	foundation_one	foundation_one			Other																												
CTNNA1	gene	CTNNA1	foundation_one	foundation_one			Other																												
CTNNB1	gene	CTNNB1	foundation_one	foundation_one			Other																												
CYLD	gene	CYLD	foundation_one	foundation_one			Other																												
DAXX	gene	DAXX	foundation_one	foundation_one			Other																												
DNMT3A	gene	DNMT3A	foundation_one	foundation_one			Other																												
EGFR	gene	EGFR	foundation_one	foundation_one			Other																												
EP300	gene	EP300	foundation_one	foundation_one			Other																												
EPHA3	gene	EPHA3	foundation_one	foundation_one			Other																												
EPHA5	gene	EPHA5	foundation_one	foundation_one			Other																												
EPHA7	gene	EPHA7	foundation_one	foundation_one			Other																												
EPHB1	gene	EPHB1	foundation_one	foundation_one			Other																												
ERBB2	gene	ERBB2	foundation_one	foundation_one			Other																												
ERBB3	gene	ERBB3	foundation_one	foundation_one			Other																												
ERBB4	gene	ERBB4	foundation_one	foundation_one			Other																												
ERG	gene	ERG	foundation_one	foundation_one			Other																												
ESR1	gene	ESR1	foundation_one	foundation_one			Other																												
ETV1	gene	ETV1	foundation_one	foundation_one			Other																												
ETV4	gene	ETV4	foundation_one	foundation_one			Other																												
