Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	foundation_one_heme	foundation_one_heme			Other																												
ABL2	gene	ABL2	foundation_one_heme	foundation_one_heme			Other																												
ACTB	gene	ACTB	foundation_one_heme	foundation_one_heme			Other																												
AKT1	gene	AKT1	foundation_one_heme	foundation_one_heme			Other																												
AKT2	gene	AKT2	foundation_one_heme	foundation_one_heme			Other																												
ALK	gene	ALK	foundation_one_heme	foundation_one_heme			Other																												
APC	gene	APC	foundation_one_heme	foundation_one_heme			Other																												
BIRC3	gene	BIRC3	foundation_one_heme	foundation_one_heme			Other																												
FAS	gene	FAS	foundation_one_heme	foundation_one_heme			Other																												
AR	gene	AR	foundation_one_heme	foundation_one_heme			Other																												
ARAF	gene	ARAF	foundation_one_heme	foundation_one_heme			Other																												
RHOA	gene	RHOA	foundation_one_heme	foundation_one_heme			Other																												
RHOH	gene	RHOH	foundation_one_heme	foundation_one_heme			Other																												
ARNT	gene	ARNT	foundation_one_heme	foundation_one_heme			Other																												
ATF1	gene	ATF1	foundation_one_heme	foundation_one_heme			Other																												
ATIC	gene	ATIC	foundation_one_heme	foundation_one_heme			Other																												
ATM	gene	ATM	foundation_one_heme	foundation_one_heme			Other																												
ATR	gene	ATR	foundation_one_heme	foundation_one_heme			Other																												
ATRX	gene	ATRX	foundation_one_heme	foundation_one_heme			Other																												
AXL	gene	AXL	foundation_one_heme	foundation_one_heme			Other																												
B2M	gene	B2M	foundation_one_heme	foundation_one_heme			Other																												
BARD1	gene	BARD1	foundation_one_heme	foundation_one_heme			Other																												
CCND1	gene	CCND1	foundation_one_heme	foundation_one_heme			Other																												
BCL2	gene	BCL2	foundation_one_heme	foundation_one_heme			Other																												
BCL2L2	gene	BCL2L2	foundation_one_heme	foundation_one_heme			Other																												
BCL3	gene	BCL3	foundation_one_heme	foundation_one_heme			Other																												
BCL6	gene	BCL6	foundation_one_heme	foundation_one_heme			Other																												
BCL7A	gene	BCL7A	foundation_one_heme	foundation_one_heme			Other																												
NBEAP1	gene	NBEAP1	foundation_one_heme	foundation_one_heme			Other																												
BCL9	gene	BCL9	foundation_one_heme	foundation_one_heme			Other																												
TNFRSF17	gene	TNFRSF17	foundation_one_heme	foundation_one_heme			Other																												
BCR	gene	BCR	foundation_one_heme	foundation_one_heme			Other																												
PRDM1	gene	PRDM1	foundation_one_heme	foundation_one_heme			Other																												
BLM	gene	BLM	foundation_one_heme	foundation_one_heme			Other																												
FOXL2	gene	FOXL2	foundation_one_heme	foundation_one_heme			Other																												
BRCA1	gene	BRCA1	foundation_one_heme	foundation_one_heme			Other																												
BRAF	gene	BRAF	foundation_one_heme	foundation_one_heme			Other																												
BRCA2	gene	BRCA2	foundation_one_heme	foundation_one_heme			Other																												
BTG1	gene	BTG1	foundation_one_heme	foundation_one_heme			Other																												
BTK	gene	BTK	foundation_one_heme	foundation_one_heme			Other																												
CAD	gene	CAD	foundation_one_heme	foundation_one_heme			Other																												
CARS	gene	CARS	foundation_one_heme	foundation_one_heme			Other																												
RUNX2	gene	RUNX2	foundation_one_heme	foundation_one_heme			Other																												
RUNX1	gene	RUNX1	foundation_one_heme	foundation_one_heme			Other																												
RUNX1T1	gene	RUNX1T1	foundation_one_heme	foundation_one_heme			Other																												
CBFA2T3	gene	CBFA2T3	foundation_one_heme	foundation_one_heme			Other																												
CBFB	gene	CBFB	foundation_one_heme	foundation_one_heme			Other																												
CBL	gene	CBL	foundation_one_heme	foundation_one_heme			Other																												
CCND2	gene	CCND2	foundation_one_heme	foundation_one_heme			Other																												
CCND3	gene	CCND3	foundation_one_heme	foundation_one_heme			Other																												
CCNE1	gene	CCNE1	foundation_one_heme	foundation_one_heme			Other																												
CD22	gene	CD22	foundation_one_heme	foundation_one_heme			Other																												
CD36	gene	CD36	foundation_one_heme	foundation_one_heme			Other																												
CD58	gene	CD58	foundation_one_heme	foundation_one_heme			Other																												
CD70	gene	CD70	foundation_one_heme	foundation_one_heme			Other																												
CD79A	gene	CD79A	foundation_one_heme	foundation_one_heme			Other																												
CD79B	gene	CD79B	foundation_one_heme	foundation_one_heme			Other																												
CDH1	gene	CDH1	foundation_one_heme	foundation_one_heme			Other																												
CDK4	gene	CDK4	foundation_one_heme	foundation_one_heme			Other																												
CDK6	gene	CDK6	foundation_one_heme	foundation_one_heme			Other																												
CDK8	gene	CDK8	foundation_one_heme	foundation_one_heme			Other																												
CDKN1B	gene	CDKN1B	foundation_one_heme	foundation_one_heme			Other																												
CDKN2A	gene	CDKN2A	foundation_one_heme	foundation_one_heme			Other																												
CDKN2B	gene	CDKN2B	foundation_one_heme	foundation_one_heme			Other																												
CDKN2C	gene	CDKN2C	foundation_one_heme	foundation_one_heme			Other																												
CDX2	gene	CDX2	foundation_one_heme	foundation_one_heme			Other																												
CEBPA	gene	CEBPA	foundation_one_heme	foundation_one_heme			Other																												
CHD2	gene	CHD2	foundation_one_heme	foundation_one_heme			Other																												
AKR1C4	gene	AKR1C4	foundation_one_heme	foundation_one_heme			Other																												
CHEK1	gene	CHEK1	foundation_one_heme	foundation_one_heme			Other																												
CHN1	gene	CHN1	foundation_one_heme	foundation_one_heme			Other																												
CKS1B	gene	CKS1B	foundation_one_heme	foundation_one_heme			Other																												
CLTC	gene	CLTC	foundation_one_heme	foundation_one_heme			Other																												
COL1A1	gene	COL1A1	foundation_one_heme	foundation_one_heme			Other																												
CPS1	gene	CPS1	foundation_one_heme	foundation_one_heme			Other																												
CREBBP	gene	CREBBP	foundation_one_heme	foundation_one_heme			Other																												
CRKL	gene	CRKL	foundation_one_heme	foundation_one_heme			Other																												
CSF1	gene	CSF1	foundation_one_heme	foundation_one_heme			Other																												
CSF1R	gene	CSF1R	foundation_one_heme	foundation_one_heme			Other																												
CSF3R	gene	CSF3R	foundation_one_heme	foundation_one_heme			Other																												
CTNNA1	gene	CTNNA1	foundation_one_heme	foundation_one_heme			Other																												
CTNNB1	gene	CTNNB1	foundation_one_heme	foundation_one_heme			Other																												
CUX1	gene	CUX1	foundation_one_heme	foundation_one_heme			Other																												
DAXX	gene	DAXX	foundation_one_heme	foundation_one_heme			Other																												
DDIT3	gene	DDIT3	foundation_one_heme	foundation_one_heme			Other																												
DDX3X	gene	DDX3X	foundation_one_heme	foundation_one_heme			Other																												
DDX6	gene	DDX6	foundation_one_heme	foundation_one_heme			Other																												
DDX10	gene	DDX10	foundation_one_heme	foundation_one_heme			Other																												
DNM2	gene	DNM2	foundation_one_heme	foundation_one_heme			Other																												
DNMT3A	gene	DNMT3A	foundation_one_heme	foundation_one_heme			Other																												
DTX1	gene	DTX1	foundation_one_heme	foundation_one_heme			Other																												
DUSP2	gene	DUSP2	foundation_one_heme	foundation_one_heme			Other																												
DUSP9	gene	DUSP9	foundation_one_heme	foundation_one_heme			Other																												
EBF1	gene	EBF1	foundation_one_heme	foundation_one_heme			Other																												
EGFR	gene	EGFR	foundation_one_heme	foundation_one_heme			Other																												
EIF4A2	gene	EIF4A2	foundation_one_heme	foundation_one_heme			Other																												
ELF4	gene	ELF4	foundation_one_heme	foundation_one_heme			Other																												
ELN	gene	ELN	foundation_one_heme	foundation_one_heme			Other																												
EP300	gene	EP300	foundation_one_heme	foundation_one_heme			Other																												
EPHA3	gene	EPHA3	foundation_one_heme	foundation_one_heme			Other																												
EPHA5	gene	EPHA5	foundation_one_heme	foundation_one_heme			Other																												
EPHA7	gene	EPHA7	foundation_one_heme	foundation_one_heme			Other																												
EPHB1	gene	EPHB1	foundation_one_heme	foundation_one_heme			Other																												
EPOR	gene	EPOR	foundation_one_heme	foundation_one_heme			Other																												
EPS15	gene	EPS15	foundation_one_heme	foundation_one_heme			Other																												
ERBB2	gene	ERBB2	foundation_one_heme	foundation_one_heme			Other																												
ERBB3	gene	ERBB3	foundation_one_heme	foundation_one_heme			Other																												
ERBB4	gene	ERBB4	foundation_one_heme	foundation_one_heme			Other																												
ERG	gene	ERG	foundation_one_heme	foundation_one_heme			Other																												
ESR1	gene	ESR1	foundation_one_heme	foundation_one_heme			Other																												
ETS1	gene	ETS1	foundation_one_heme	foundation_one_heme			Other																												
ETV1	gene	ETV1	foundation_one_heme	foundation_one_heme			Other																												
ETV4	gene	ETV4	foundation_one_heme	foundation_one_heme			Other																												
ETV5	gene	ETV5	foundation_one_heme	foundation_one_heme			Other																												
ETV6	gene	ETV6	foundation_one_heme	foundation_one_heme			Other																												
MECOM	gene	MECOM	foundation_one_heme	foundation_one_heme			Other																												
EWSR1	gene	EWSR1	foundation_one_heme	foundation_one_heme			Other																												
EZH2	gene	EZH2	foundation_one_heme	foundation_one_heme			Other																												
FANCA	gene	FANCA	foundation_one_heme	foundation_one_heme			Other																												
FANCC	gene	FANCC	foundation_one_heme	foundation_one_heme			Other																												
FANCD2	gene	FANCD2	foundation_one_heme	foundation_one_heme			Other																												
FANCE	gene	FANCE	foundation_one_heme	foundation_one_heme			Other																												
FANCF	gene	FANCF	foundation_one_heme	foundation_one_heme			Other																												
FANCG	gene	FANCG	foundation_one_heme	foundation_one_heme			Other																												
FCGR2B	gene	FCGR2B	foundation_one_heme	foundation_one_heme			Other																												
FGF3	gene	FGF3	foundation_one_heme	foundation_one_heme			Other																												
FGF4	gene	FGF4	foundation_one_heme	foundation_one_heme			Other																												
FGF6	gene	FGF6	foundation_one_heme	foundation_one_heme			Other																												
FGF10	gene	FGF10	foundation_one_heme	foundation_one_heme			Other																												
FGF14	gene	FGF14	foundation_one_heme	foundation_one_heme			Other																												
FGFR1	gene	FGFR1	foundation_one_heme	foundation_one_heme			Other																												
FGFR3	gene	FGFR3	foundation_one_heme	foundation_one_heme			Other																												
FGFR2	gene	FGFR2	foundation_one_heme	foundation_one_heme			Other																												
FGFR4	gene	FGFR4	foundation_one_heme	foundation_one_heme			Other																												
FHIT	gene	FHIT	foundation_one_heme	foundation_one_heme			Other																												
FOXO1	gene	FOXO1	foundation_one_heme	foundation_one_heme			Other																												
FOXO3	gene	FOXO3	foundation_one_heme	foundation_one_heme			Other																												
FLI1	gene	FLI1	foundation_one_heme	foundation_one_heme			Other																												
FLT1	gene	FLT1	foundation_one_heme	foundation_one_heme			Other																												
FLT3	gene	FLT3	foundation_one_heme	foundation_one_heme			Other																												
FLT4	gene	FLT4	foundation_one_heme	foundation_one_heme			Other																												
MTOR	gene	MTOR	foundation_one_heme	foundation_one_heme			Other																												
FUS	gene	FUS	foundation_one_heme	foundation_one_heme			Other																												
KDSR	gene	KDSR	foundation_one_heme	foundation_one_heme			Other																												
GATA1	gene	GATA1	foundation_one_heme	foundation_one_heme			Other																												
GATA2	gene	GATA2	foundation_one_heme	foundation_one_heme			Other																												
