Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	msk_heme	msk_heme			Other																												
ACTG1	gene	ACTG1	msk_heme	msk_heme			Other																												
PARP1	gene	PARP1	msk_heme	msk_heme			Other																												
AKT1	gene	AKT1	msk_heme	msk_heme			Other																												
AKT2	gene	AKT2	msk_heme	msk_heme			Other																												
ALK	gene	ALK	msk_heme	msk_heme			Other																												
ALOX12B	gene	ALOX12B	msk_heme	msk_heme			Other																												
APC	gene	APC	msk_heme	msk_heme			Other																												
BIRC3	gene	BIRC3	msk_heme	msk_heme			Other																												
FAS	gene	FAS	msk_heme	msk_heme			Other																												
AR	gene	AR	msk_heme	msk_heme			Other																												
ARAF	gene	ARAF	msk_heme	msk_heme			Other																												
RHOA	gene	RHOA	msk_heme	msk_heme			Other																												
ATM	gene	ATM	msk_heme	msk_heme			Other																												
ATP6V1B2	gene	ATP6V1B2	msk_heme	msk_heme			Other																												
ATP6AP1	gene	ATP6AP1	msk_heme	msk_heme			Other																												
ATR	gene	ATR	msk_heme	msk_heme			Other																												
ATRX	gene	ATRX	msk_heme	msk_heme			Other																												
AXL	gene	AXL	msk_heme	msk_heme			Other																												
B2M	gene	B2M	msk_heme	msk_heme			Other																												
BARD1	gene	BARD1	msk_heme	msk_heme			Other																												
CCND1	gene	CCND1	msk_heme	msk_heme			Other																												
BCL2	gene	BCL2	msk_heme	msk_heme			Other																												
BCL6	gene	BCL6	msk_heme	msk_heme			Other																												
BCR	gene	BCR	msk_heme	msk_heme			Other																												
PRDM1	gene	PRDM1	msk_heme	msk_heme			Other																												
BLM	gene	BLM	msk_heme	msk_heme			Other																												
FOXL2	gene	FOXL2	msk_heme	msk_heme			Other																												
BRCA1	gene	BRCA1	msk_heme	msk_heme			Other																												
BRAF	gene	BRAF	msk_heme	msk_heme			Other																												
BRCA2	gene	BRCA2	msk_heme	msk_heme			Other																												
BTG1	gene	BTG1	msk_heme	msk_heme			Other																												
BTK	gene	BTK	msk_heme	msk_heme			Other																												
CALR	gene	CALR	msk_heme	msk_heme			Other																												
CASP8	gene	CASP8	msk_heme	msk_heme			Other																												
RUNX1	gene	RUNX1	msk_heme	msk_heme			Other																												
RUNX1T1	gene	RUNX1T1	msk_heme	msk_heme			Other																												
CBFB	gene	CBFB	msk_heme	msk_heme			Other																												
CBL	gene	CBL	msk_heme	msk_heme			Other																												
CCND2	gene	CCND2	msk_heme	msk_heme			Other																												
CCND3	gene	CCND3	msk_heme	msk_heme			Other																												
CCNE1	gene	CCNE1	msk_heme	msk_heme			Other																												
CD28	gene	CD28	msk_heme	msk_heme			Other																												
CD58	gene	CD58	msk_heme	msk_heme			Other																												
CD79A	gene	CD79A	msk_heme	msk_heme			Other																												
CD79B	gene	CD79B	msk_heme	msk_heme			Other																												
CDH1	gene	CDH1	msk_heme	msk_heme			Other																												
CDK4	gene	CDK4	msk_heme	msk_heme			Other																												
CDK6	gene	CDK6	msk_heme	msk_heme			Other																												
CDK8	gene	CDK8	msk_heme	msk_heme			Other																												
CDKN1B	gene	CDKN1B	msk_heme	msk_heme			Other																												
CDKN2A	gene	CDKN2A	msk_heme	msk_heme			Other																												
CDKN2B	gene	CDKN2B	msk_heme	msk_heme			Other																												
CDKN2C	gene	CDKN2C	msk_heme	msk_heme			Other																												
CEBPA	gene	CEBPA	msk_heme	msk_heme			Other																												
CHEK1	gene	CHEK1	msk_heme	msk_heme			Other																												
CREBBP	gene	CREBBP	msk_heme	msk_heme			Other																												
CRKL	gene	CRKL	msk_heme	msk_heme			Other																												
CSF1R	gene	CSF1R	msk_heme	msk_heme			Other																												
CSF3R	gene	CSF3R	msk_heme	msk_heme			Other																												
CTNNB1	gene	CTNNB1	msk_heme	msk_heme			Other																												
CUX1	gene	CUX1	msk_heme	msk_heme			Other																												
CYLD	gene	CYLD	msk_heme	msk_heme			Other																												
DAXX	gene	DAXX	msk_heme	msk_heme			Other																												
DDX3X	gene	DDX3X	msk_heme	msk_heme			Other																												
DNMT3A	gene	DNMT3A	msk_heme	msk_heme			Other																												
ARID3A	gene	ARID3A	msk_heme	msk_heme			Other																												
DTX1	gene	DTX1	msk_heme	msk_heme			Other																												
EGFR	gene	EGFR	msk_heme	msk_heme			Other																												
EGR1	gene	EGR1	msk_heme	msk_heme			Other																												
EP300	gene	EP300	msk_heme	msk_heme			Other																												
EPHA3	gene	EPHA3	msk_heme	msk_heme			Other																												
EPHA5	gene	EPHA5	msk_heme	msk_heme			Other																												
EPHA7	gene	EPHA7	msk_heme	msk_heme			Other																												
EPHB1	gene	EPHB1	msk_heme	msk_heme			Other																												
ERBB2	gene	ERBB2	msk_heme	msk_heme			Other																												
ERBB3	gene	ERBB3	msk_heme	msk_heme			Other																												
ERBB4	gene	ERBB4	msk_heme	msk_heme			Other																												
ERG	gene	ERG	msk_heme	msk_heme			Other																												
ESR1	gene	ESR1	msk_heme	msk_heme			Other																												
ETV6	gene	ETV6	msk_heme	msk_heme			Other																												
EZH2	gene	EZH2	msk_heme	msk_heme			Other																												
FANCA	gene	FANCA	msk_heme	msk_heme			Other																												
FANCC	gene	FANCC	msk_heme	msk_heme			Other																												
FANCD2	gene	FANCD2	msk_heme	msk_heme			Other																												
FAT1	gene	FAT1	msk_heme	msk_heme			Other																												
FGF3	gene	FGF3	msk_heme	msk_heme			Other																												
FGF4	gene	FGF4	msk_heme	msk_heme			Other																												
FGFR1	gene	FGFR1	msk_heme	msk_heme			Other																												
FGFR3	gene	FGFR3	msk_heme	msk_heme			Other																												
FGFR2	gene	FGFR2	msk_heme	msk_heme			Other																												
FGFR4	gene	FGFR4	msk_heme	msk_heme			Other																												
FOXO1	gene	FOXO1	msk_heme	msk_heme			Other																												
FLT1	gene	FLT1	msk_heme	msk_heme			Other																												
FLT3	gene	FLT3	msk_heme	msk_heme			Other																												
FLT4	gene	FLT4	msk_heme	msk_heme			Other																												
MTOR	gene	MTOR	msk_heme	msk_heme			Other																												
FYN	gene	FYN	msk_heme	msk_heme			Other																												
GATA1	gene	GATA1	msk_heme	msk_heme			Other																												
GATA2	gene	GATA2	msk_heme	msk_heme			Other																												
GATA3	gene	GATA3	msk_heme	msk_heme			Other																												
