Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	oncokb	oncokb			Other																												
ACTG1	gene	ACTG1	oncokb	oncokb			Other																												
ACVR1	gene	ACVR1	oncokb	oncokb			Other																												
PARP1	gene	PARP1	oncokb	oncokb			Other																												
AKT1	gene	AKT1	oncokb	oncokb			Other																												
AKT2	gene	AKT2	oncokb	oncokb			Other																												
ALK	gene	ALK	oncokb	oncokb			Other																												
ALOX12B	gene	ALOX12B	oncokb	oncokb			Other																												
APC	gene	APC	oncokb	oncokb			Other																												
BIRC3	gene	BIRC3	oncokb	oncokb			Other																												
XIAP	gene	XIAP	oncokb	oncokb			Other																												
FAS	gene	FAS	oncokb	oncokb			Other																												
AR	gene	AR	oncokb	oncokb			Other																												
ARAF	gene	ARAF	oncokb	oncokb			Other																												
RHOA	gene	RHOA	oncokb	oncokb			Other																												
ZFHX3	gene	ZFHX3	oncokb	oncokb			Other																												
ATM	gene	ATM	oncokb	oncokb			Other																												
ATP6V1B2	gene	ATP6V1B2	oncokb	oncokb			Other																												
ATP6AP1	gene	ATP6AP1	oncokb	oncokb			Other																												
ATR	gene	ATR	oncokb	oncokb			Other																												
ATRX	gene	ATRX	oncokb	oncokb			Other																												
AXL	gene	AXL	oncokb	oncokb			Other																												
B2M	gene	B2M	oncokb	oncokb			Other																												
BARD1	gene	BARD1	oncokb	oncokb			Other																												
CCND1	gene	CCND1	oncokb	oncokb			Other																												
BCL2	gene	BCL2	oncokb	oncokb			Other																												
BCL2L1	gene	BCL2L1	oncokb	oncokb			Other																												
BCL6	gene	BCL6	oncokb	oncokb			Other																												
BCR	gene	BCR	oncokb	oncokb			Other																												
PRDM1	gene	PRDM1	oncokb	oncokb			Other																												
BLM	gene	BLM	oncokb	oncokb			Other																												
BMPR1A	gene	BMPR1A	oncokb	oncokb			Other																												
FOXL2	gene	FOXL2	oncokb	oncokb			Other																												
BRCA1	gene	BRCA1	oncokb	oncokb			Other																												
BRAF	gene	BRAF	oncokb	oncokb			Other																												
BRCA2	gene	BRCA2	oncokb	oncokb			Other																												
BTG1	gene	BTG1	oncokb	oncokb			Other																												
BTK	gene	BTK	oncokb	oncokb			Other																												
CALR	gene	CALR	oncokb	oncokb			Other																												
CASP8	gene	CASP8	oncokb	oncokb			Other																												
RUNX1	gene	RUNX1	oncokb	oncokb			Other																												
RUNX1T1	gene	RUNX1T1	oncokb	oncokb			Other																												
CBFB	gene	CBFB	oncokb	oncokb			Other																												
CBL	gene	CBL	oncokb	oncokb			Other																												
CCND2	gene	CCND2	oncokb	oncokb			Other																												
CCND3	gene	CCND3	oncokb	oncokb			Other																												
CCNE1	gene	CCNE1	oncokb	oncokb			Other																												
CD28	gene	CD28	oncokb	oncokb			Other																												
CD58	gene	CD58	oncokb	oncokb			Other																												
CD79A	gene	CD79A	oncokb	oncokb			Other																												
CD79B	gene	CD79B	oncokb	oncokb			Other																												
CDC42	gene	CDC42	oncokb	oncokb			Other																												
CDH1	gene	CDH1	oncokb	oncokb			Other																												
CDK4	gene	CDK4	oncokb	oncokb			Other																												
CDK6	gene	CDK6	oncokb	oncokb			Other																												
CDK8	gene	CDK8	oncokb	oncokb			Other																												
CDKN1A	gene	CDKN1A	oncokb	oncokb			Other																												
CDKN1B	gene	CDKN1B	oncokb	oncokb			Other																												
CDKN2A	gene	CDKN2A	oncokb	oncokb			Other																												
CDKN2B	gene	CDKN2B	oncokb	oncokb			Other																												
CDKN2C	gene	CDKN2C	oncokb	oncokb			Other																												
CEBPA	gene	CEBPA	oncokb	oncokb			Other																												
CENPA	gene	CENPA	oncokb	oncokb			Other																												
CHEK1	gene	CHEK1	oncokb	oncokb			Other																												
CREBBP	gene	CREBBP	oncokb	oncokb			Other																												
CRKL	gene	CRKL	oncokb	oncokb			Other																												
CSF1R	gene	CSF1R	oncokb	oncokb			Other																												
CSF3R	gene	CSF3R	oncokb	oncokb			Other																												
