Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	vogelstein	vogelstein			Other																												
ACVR1B	gene	ACVR1B	vogelstein	vogelstein			Other																												
AKT1	gene	AKT1	vogelstein	vogelstein			Other																												
ALK	gene	ALK	vogelstein	vogelstein			Other																												
APC	gene	APC	vogelstein	vogelstein			Other																												
AR	gene	AR	vogelstein	vogelstein			Other																												
ATM	gene	ATM	vogelstein	vogelstein			Other																												
ATRX	gene	ATRX	vogelstein	vogelstein			Other																												
B2M	gene	B2M	vogelstein	vogelstein			Other																												
BCL2	gene	BCL2	vogelstein	vogelstein			Other																												
PRDM1	gene	PRDM1	vogelstein	vogelstein			Other																												
FOXL2	gene	FOXL2	vogelstein	vogelstein			Other																												
BRCA1	gene	BRCA1	vogelstein	vogelstein			Other																												
BRAF	gene	BRAF	vogelstein	vogelstein			Other																												
BRCA2	gene	BRCA2	vogelstein	vogelstein			Other																												
CASP8	gene	CASP8	vogelstein	vogelstein			Other																												
RUNX1	gene	RUNX1	vogelstein	vogelstein			Other																												
CBL	gene	CBL	vogelstein	vogelstein			Other																												
CDH1	gene	CDH1	vogelstein	vogelstein			Other																												
CDKN2A	gene	CDKN2A	vogelstein	vogelstein			Other																												
CEBPA	gene	CEBPA	vogelstein	vogelstein			Other																												
CREBBP	gene	CREBBP	vogelstein	vogelstein			Other																												
CSF1R	gene	CSF1R	vogelstein	vogelstein			Other																												
CTNNB1	gene	CTNNB1	vogelstein	vogelstein			Other																												
CYLD	gene	CYLD	vogelstein	vogelstein			Other																												
DAXX	gene	DAXX	vogelstein	vogelstein			Other																												
DNMT1	gene	DNMT1	vogelstein	vogelstein			Other																												
DNMT3A	gene	DNMT3A	vogelstein	vogelstein			Other																												
EGFR	gene	EGFR	vogelstein	vogelstein			Other																												
EP300	gene	EP300	vogelstein	vogelstein			Other																												
ERBB2	gene	ERBB2	vogelstein	vogelstein			Other																												
EZH2	gene	EZH2	vogelstein	vogelstein			Other																												
FGFR3	gene	FGFR3	vogelstein	vogelstein			Other																												
FGFR2	gene	FGFR2	vogelstein	vogelstein			Other																												
FLT3	gene	FLT3	vogelstein	vogelstein			Other																												
GATA1	gene	GATA1	vogelstein	vogelstein			Other																												
GATA2	gene	GATA2	vogelstein	vogelstein			Other																												
GATA3	gene	GATA3	vogelstein	vogelstein			Other																												
GNA11	gene	GNA11	vogelstein	vogelstein			Other																												
GNAQ	gene	GNAQ	vogelstein	vogelstein			Other																												
GNAS	gene	GNAS	vogelstein	vogelstein			Other																												
MSH6	gene	MSH6	vogelstein	vogelstein			Other																												
H3F3A	gene	H3F3A	vogelstein	vogelstein			Other																												
HRAS	gene	HRAS	vogelstein	vogelstein			Other																												
IDH1	gene	IDH1	vogelstein	vogelstein			Other																												
IDH2	gene	IDH2	vogelstein	vogelstein			Other																												
JAK1	gene	JAK1	vogelstein	vogelstein			Other																												
JAK2	gene	JAK2	vogelstein	vogelstein			Other																												
JAK3	gene	JAK3	vogelstein	vogelstein			Other																												
KIT	gene	KIT	vogelstein	vogelstein			Other																												
KRAS	gene	KRAS	vogelstein	vogelstein			Other																												
SMAD2	gene	SMAD2	vogelstein	vogelstein			Other																												
SMAD4	gene	SMAD4	vogelstein	vogelstein			Other																												
MAP3K1	gene	MAP3K1	vogelstein	vogelstein			Other																												
MEN1	gene	MEN1	vogelstein	vogelstein			Other																												
MET	gene	MET	vogelstein	vogelstein			Other																												
MLH1	gene	MLH1	vogelstein	vogelstein			Other																												
MPL	gene	MPL	vogelstein	vogelstein			Other																												
MSH2	gene	MSH2	vogelstein	vogelstein			Other																												
MYD88	gene	MYD88	vogelstein	vogelstein			Other																												
NF1	gene	NF1	vogelstein	vogelstein			Other																												
NF2	gene	NF2	vogelstein	vogelstein			Other																												
NFE2L2	gene	NFE2L2	vogelstein	vogelstein			Other																												
NOTCH1	gene	NOTCH1	vogelstein	vogelstein			Other																												
NOTCH2	gene	NOTCH2	vogelstein	vogelstein			Other																												
NPM1	gene	NPM1	vogelstein	vogelstein			Other																												
NRAS	gene	NRAS	vogelstein	vogelstein			Other																												
PAX5	gene	PAX5	vogelstein	vogelstein			Other																												
PDGFRA	gene	PDGFRA	vogelstein	vogelstein			Other																												
PIK3CA	gene	PIK3CA	vogelstein	vogelstein			Other																												
PIK3R1	gene	PIK3R1	vogelstein	vogelstein			Other																												
PPP2R1A	gene	PPP2R1A	vogelstein	vogelstein			Other																												
MAP2K1	gene	MAP2K1	vogelstein	vogelstein			Other																												
PTCH1	gene	PTCH1	vogelstein	vogelstein			Other																												
PTEN	gene	PTEN	vogelstein	vogelstein			Other																												
PTPN11	gene	PTPN11	vogelstein	vogelstein			Other																												
RB1	gene	RB1	vogelstein	vogelstein			Other																												
RET	gene	RET	vogelstein	vogelstein			Other																												
SRSF2	gene	SRSF2	vogelstein	vogelstein			Other																												
SMARCA4	gene	SMARCA4	vogelstein	vogelstein			Other																												
SMARCB1	gene	SMARCB1	vogelstein	vogelstein			Other																												
SMO	gene	SMO	vogelstein	vogelstein			Other																												
SOX9	gene	SOX9	vogelstein	vogelstein			Other																												
STK11	gene	STK11	vogelstein	vogelstein			Other																												
HNF1A	gene	HNF1A	vogelstein	vogelstein			Other																												
TNFAIP3	gene	TNFAIP3	vogelstein	vogelstein			Other																												
TP53	gene	TP53	vogelstein	vogelstein			Other																												
TSC1	gene	TSC1	vogelstein	vogelstein			Other																												
TSHR	gene	TSHR	vogelstein	vogelstein			Other																												
U2AF1	gene	U2AF1	vogelstein	vogelstein			Other																												
KDM6A	gene	KDM6A	vogelstein	vogelstein			Other																												
VHL	gene	VHL	vogelstein	vogelstein			Other																												
WT1	gene	WT1	vogelstein	vogelstein			Other																												
KMT2D	gene	KMT2D	vogelstein	vogelstein			Other																												
KDM5C	gene	KDM5C	vogelstein	vogelstein			Other																												
ARID1A	gene	ARID1A	vogelstein	vogelstein			Other																												
AXIN1	gene	AXIN1	vogelstein	vogelstein			Other																												
BAP1	gene	BAP1	vogelstein	vogelstein			Other																												
HIST1H3B	gene	HIST1H3B	vogelstein	vogelstein			Other																												
SPOP	gene	SPOP	vogelstein	vogelstein			Other																												
SOCS1	gene	SOCS1	vogelstein	vogelstein			Other																												
FUBP1	gene	FUBP1	vogelstein	vogelstein			Other																												
KLF4	gene	KLF4	vogelstein	vogelstein			Other																												
NCOR1	gene	NCOR1	vogelstein	vogelstein			Other																												
MED12	gene	MED12	vogelstein	vogelstein			Other																												
STAG2	gene	STAG2	vogelstein	vogelstein			Other																												
CIC	gene	CIC	vogelstein	vogelstein			Other																												
SF3B1	gene	SF3B1	vogelstein	vogelstein			Other																												
SETBP1	gene	SETBP1	vogelstein	vogelstein			Other																												
SETD2	gene	SETD2	vogelstein	vogelstein			Other																												
TET2	gene	TET2	vogelstein	vogelstein			Other																												
BCOR	gene	BCOR	vogelstein	vogelstein			Other																												
RNF43	gene	RNF43	vogelstein	vogelstein			Other																												
PBRM1	gene	PBRM1	vogelstein	vogelstein			Other																												
FBXW7	gene	FBXW7	vogelstein	vogelstein			Other																												
ARID1B	gene	ARID1B	vogelstein	vogelstein			Other																												
KMT2C	gene	KMT2C	vogelstein	vogelstein			Other																												
CRLF2	gene	CRLF2	vogelstein	vogelstein			Other																												
CDC73	gene	CDC73	vogelstein	vogelstein			Other																												
TRAF7	gene	TRAF7	vogelstein	vogelstein			Other																												
PHF6	gene	PHF6	vogelstein	vogelstein			Other																												
CARD11	gene	CARD11	vogelstein	vogelstein			Other																												
AMER1	gene	AMER1	vogelstein	vogelstein			Other																												
ASXL1	gene	ASXL1	vogelstein	vogelstein			Other																												
ARID2	gene	ARID2	vogelstein	vogelstein			Other																												
