matching_id	role	cancer_id	cancer_normalized	gene_hugo_id	gene_entrez_id	gene_normalized	citation_count
f952c5ad7bfa3a24e85e9c3326cdeb4f	Oncogene	DOID:1612	breast cancer	HGNC:3430	2064	ERBB2	428
42a6cc76076d3fb75ac50a800cde08af	Tumor_Suppressor	DOID:768	retinoblastoma	HGNC:9884	5925	RB1	403
2e0ded9fb079b5249f2d89c4e9969e58	Tumor_Suppressor	DOID:2154	nephroblastoma	HGNC:12796	7490	WT1	356
120622840a20614876f8610d58bc4ff4	Oncogene	DOID:769	neuroblastoma	HGNC:7559	4613	MYCN	329
b539ce94cca18a6c752ecf49a76092b1	Oncogene	DOID:8552	chronic myeloid leukemia	HGNC:76	25	ABL1	326
0327bffcf721a3443ad01f612efd4de8	Oncogene	DOID:3973	thyroid medullary carcinoma	HGNC:9967	5979	RET	300
acf2e46260fb18bb76c0a12976a81e58	Oncogene	DOID:1909	melanoma	HGNC:1097	673	BRAF	298
c6497f99874500b61bb6e6cbb2843244	Oncogene	DOID:1793	pancreatic cancer	HGNC:6407	3845	KRAS	298
d7ac315bc07c90d681391900832a7449	Oncogene	DOID:170	endocrine gland cancer	HGNC:9967	5979	RET	298
ad06a8e196876ea092ce6c8c53790fc9	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:3236	1956	EGFR	292
a518a97e5b837a99e4af5ad51c66f152	Oncogene	DOID:9253	gastrointestinal stromal tumor	HGNC:6342	3815	KIT	226
5e2b454e4190b558bd1406b85101b12e	Oncogene	DOID:9256	colorectal cancer	HGNC:6407	3845	KRAS	210
b177116683ecaf3b7f9f62f8bf7f0bd0	Driver	DOID:1324	lung cancer	HGNC:6407	3845	KRAS	202
7dcef0d4e3128a7a9d412a1702cfb9e4	Oncogene	DOID:1612	breast cancer	HGNC:7553	4609	MYC	195
6b2c51597912864a3cd5c6cf2e904f4a	Oncogene	DOID:8584	Burkitt lymphoma	HGNC:7553	4609	MYC	192
e598a4a92ae53f223da6cf07a2fa4b28	Driver	DOID:0060058	lymphoma	HGNC:7553	4609	MYC	149
2603e80d33b9a527908cf99cabdfd051	Driver	DOID:1909	melanoma	HGNC:1097	673	BRAF	146
f04f7c1ab5c7ad5f5234a29d903b33ca	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:6407	3845	KRAS	139
4d00f8f153000d3ec1d3440ce2f7b009	Oncogene	DOID:1324	lung cancer	HGNC:6407	3845	KRAS	132
d2e0feaeb926fb89908a23a43d16e46a	Driver	DOID:3908	non-small cell lung carcinoma	HGNC:3236	1956	EGFR	129
333aced65dd558f55c8c9fcc3c968830	Oncogene	DOID:8552	chronic myeloid leukemia	HGNC:1014	613	BCR	127
e743295a4ba73a79685ae033d9c28b82	Oncogene	DOID:1324	lung cancer	HGNC:3236	1956	EGFR	123
4dac992cb7d4d8beb57f3094fda8ce55	Oncogene	DOID:0060058	lymphoma	HGNC:7553	4609	MYC	122
19ccfdc4caf0ea5d2898cef3c3aac744	Oncogene	DOID:684	hepatocellular carcinoma	HGNC:7553	4609	MYC	120
0b552a5d8cfb0f0a1fcfdd9456db1682	Oncogene	DOID:3969	papillary thyroid carcinoma	HGNC:9967	5979	RET	116
4777ca70a48d45ab3ca357af68bcb9d5	Driver	DOID:1612	breast cancer	HGNC:3430	2064	ERBB2	115
ba14cde0c486e4b610c6ded5021e9d96	Oncogene	DOID:3369	Ewing sarcoma	HGNC:3508	2130	EWSR1	111
9c871799d37ddf3a40d0d33ed9868315	Tumor_Suppressor	DOID:10283	prostate cancer	HGNC:9588	5728	PTEN	109
a82c43da99496766f772053538678841	Tumor_Suppressor	DOID:9256	colorectal cancer	HGNC:583	324	APC	108
9b5adc46cd535d6b182c1eb0d250cfe2	Driver	DOID:707	B-cell lymphoma	HGNC:7553	4609	MYC	107
1eba268f6c1106430fd1a5eb7600ad20	Oncogene	DOID:0050547	familial medullary thyroid carcinoma	HGNC:9967	5979	RET	106
1a564e2ea02a92bb062bced9d1f3b65b	Driver	DOID:1793	pancreatic cancer	HGNC:6407	3845	KRAS	106
b6fa8e60bafa8f97d76a94c0f91fd7f5	Driver	DOID:1324	lung cancer	HGNC:3236	1956	EGFR	106
af8ad5a7e5f73cfc026f5c3f6cdb5f21	Oncogene	DOID:3068	glioblastoma multiforme	HGNC:3236	1956	EGFR	105
e5d7879bfe99a899f2efbd37e860dff1	Tumor_Suppressor	DOID:1612	breast cancer	HGNC:1100	672	BRCA1	104
ae453c525d43868611d5fe07b3bbc6b6	Oncogene	DOID:3347	osteosarcoma	HGNC:3796	2353	FOS	101
39c6fbbdeab250f2082e1c0510cd3fce	Driver	DOID:3908	non-small cell lung carcinoma	HGNC:6407	3845	KRAS	101
c4b89d657c4f85e9ca45afa25f786708	Oncogene	DOID:1240	leukemia	HGNC:76	25	ABL1	95
0655f53767046fcfab01b9e5dbd0c1d7	Tumor_Suppressor	DOID:1612	breast cancer	HGNC:11998	7157	TP53	88
ef544c0783e7b41f64fa68a45f740011	Tumor_Suppressor	DOID:2394	ovarian cancer	HGNC:1100	672	BRCA1	87
6935c9a5b21c2143a6621de2c11fed56	Oncogene	DOID:707	B-cell lymphoma	HGNC:7553	4609	MYC	83
d1c3c7d096e79f01ffb2502245338a7c	Driver	DOID:769	neuroblastoma	HGNC:7559	4613	MYCN	82
46488d8383f21a48591e51b23f9dbc54	Tumor_Suppressor	DOID:10534	stomach cancer	HGNC:10473	864	RUNX3	81
0c7d0a4db9517deee4969585752092e4	Oncogene	DOID:10283	prostate cancer	HGNC:7553	4609	MYC	81
18cfa68e7bc63d7310022142f91dd913	Oncogene	DOID:769	neuroblastoma	HGNC:7553	4609	MYC	76
d2ba22a871d0df4a171d96cf655c1ff2	Oncogene	DOID:1909	melanoma	HGNC:7989	4893	NRAS	74
b0f2590651dd9406cd9fc7508a78bbe0	Oncogene	DOID:219	colon cancer	HGNC:6407	3845	KRAS	72
994f70db7b330abd5b6aadbbfa17d436	Oncogene	DOID:3910	lung adenocarcinoma	HGNC:6407	3845	KRAS	70
f391dc2a131ad52ab05614c028ba42dd	Oncogene	DOID:1781	thyroid cancer	HGNC:9967	5979	RET	69
603dccd02863a72e8dfd3b1fef426ffe	Oncogene	DOID:1612	breast cancer	HGNC:3236	1956	EGFR	69
2583c43a6d5f5cfb0222dbece1200b19	Oncogene	DOID:1240	leukemia	HGNC:7553	4609	MYC	69
9c63f1618a2504603022ca8c9dc46d7e	Oncogene	DOID:3498	pancreatic ductal adenocarcinoma	HGNC:6407	3845	KRAS	68
3c02d1d6641c40c755d5f1e17a005d1b	Oncogene	DOID:9256	colorectal cancer	HGNC:7553	4609	MYC	65
289fcada5925d0272a80d7b6c40781a4	Driver	DOID:3910	lung adenocarcinoma	HGNC:6407	3845	KRAS	65
fa20521dcecc760710f9f68ef8afb234	Oncogene	DOID:9256	colorectal cancer	HGNC:1097	673	BRAF	64
8bb7693c37b671596faed574dc6dbdd1	Oncogene	DOID:3910	lung adenocarcinoma	HGNC:3236	1956	EGFR	63
5a6fc930cc9a5277f325e1e7cd58da45	Driver	DOID:0050902	medulloblastoma	HGNC:10848	6469	SHH	63
573e92c6004147c97213ca06c5832680	Driver	DOID:1909	melanoma	HGNC:7989	4893	NRAS	61
6ca228a3cbda6c60eb0b027a18494082	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:427	238	ALK	60
cd7100110db23d6adbad9e64c0423876	Oncogene	DOID:1909	melanoma	HGNC:7105	4286	MITF	58
6af00211716f58cb4e16e63b3fde086b	Tumor_Suppressor	DOID:684	hepatocellular carcinoma	HGNC:11998	7157	TP53	57
e3ac9c37f23f459449fff48853aa1c2f	Tumor_Suppressor	DOID:1324	lung cancer	HGNC:11998	7157	TP53	56
796d2cd4dfdeb222fe07ddeb5c27cd08	Tumor_Suppressor	DOID:4467	clear cell renal cell carcinoma	HGNC:12687	7428	VHL	55
24db618a475aa6f7ff0480204e909a25	Oncogene	DOID:1909	melanoma	HGNC:7553	4609	MYC	55
a47356d2f8d97088c678a36b2997ce90	Oncogene	DOID:1612	breast cancer	HGNC:1582	595	CCND1	55
7a28c58bf5f632ee85dcb56d373210c2	Driver	DOID:1612	breast cancer	HGNC:7553	4609	MYC	55
