"gene","OncoKB","COSMIC","CGI","CIViC"
"ABL1",TRUE,TRUE,TRUE,TRUE
"AKT2",TRUE,NA,NA,NA
"AKT3",TRUE,NA,TRUE,NA
"ALK",TRUE,TRUE,TRUE,TRUE
"BCOR",TRUE,TRUE,NA,NA
"BRAF",TRUE,TRUE,TRUE,TRUE
"DUX4",TRUE,NA,NA,TRUE
"EP300",TRUE,TRUE,NA,NA
"ERBB4",TRUE,NA,TRUE,NA
"ERG",TRUE,TRUE,NA,TRUE
"ETV1",TRUE,TRUE,NA,NA
"ETV4",TRUE,TRUE,NA,NA
"FGFR1",TRUE,NA,NA,TRUE
"FGFR3",TRUE,NA,TRUE,NA
"JAK2",TRUE,TRUE,NA,TRUE
"MAST1",NA,TRUE,NA,NA
"MET",TRUE,NA,TRUE,NA
"MYC",TRUE,NA,NA,NA
"NKX2-1",TRUE,NA,NA,NA
"NOTCH1",TRUE,TRUE,TRUE,NA
"NR4A3",TRUE,TRUE,NA,NA
"NRG1",NA,TRUE,TRUE,NA
"NTRK1",TRUE,TRUE,TRUE,TRUE
"NTRK2",TRUE,TRUE,NA,NA
"NTRK3",TRUE,TRUE,TRUE,TRUE
"PDGFRA",TRUE,NA,TRUE,TRUE
"PDGFRB",TRUE,NA,NA,TRUE
"PHF1",NA,TRUE,NA,NA
"PIK3CB",TRUE,NA,NA,NA
"PLAG1",NA,TRUE,NA,NA
"RAF1",TRUE,TRUE,TRUE,NA
"RET",TRUE,TRUE,TRUE,TRUE
"ROS1",TRUE,TRUE,TRUE,TRUE
"TFE3",TRUE,TRUE,NA,NA
"USP6",NA,TRUE,NA,NA
"YAP1",TRUE,NA,TRUE,NA
