Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ALK	gene	ALK	CGC_86				Other	Neuroblastoma					ALK receptor tyrosine kinase																						
APC	gene	APC	CGC_86				Other	Familial adenomatous polyposis 1					APC, WNT signaling pathway regulator																						
APOBEC3B	gene	APOBEC3B	CGC_86				Other	NA					apolipoprotein B mRNA editing enzyme catalytic subunit 3B																						
AR	gene	AR	CGC_86				Other	NA					androgen receptor																						
ATM	gene	ATM	CGC_86				Other	Ataxia-telangiectasia syndrome					ATM serine/threonine kinase																						
ATR	gene	ATR	CGC_86				Other	Seckel syndrome; Cutaneous telangiectasia and cancer syndrome, familial					ATR serine/threonine kinase																						
AXIN2	gene	AXIN2	CGC_86				Other	Oligodontia-colorectal cancer syndrome					axin 2																						
BAP1	gene	BAP1	CGC_86				Other	Tumor susceptibility linked to germline BAP1 mutations; BAP1 Cancer Syndrome					BRCA1 associated protein 1																						
BARD1	gene	BARD1	CGC_86				Other	NA					BRCA1 associated RING domain 1																						
BLM	gene	BLM	CGC_86				Other	Bloom syndrome					Bloom syndrome RecQ like helicase																						
BMPR1A	gene	BMPR1A	CGC_86				Other	Juvenile polyposis syndrome					bone morphogenetic protein receptor type 1A																						
BRCA1	gene	BRCA1	CGC_86				Other	Hereditary breast and ovarian cancer syndrome					BRCA1, DNA repair associated																						
BRCA2	gene	BRCA2	CGC_86				Other	Hereditary breast and ovarian cancer syndrome; Fanconi anemia, complementation group D1					BRCA2, DNA repair associated																						
BRIP1	gene	BRIP1	CGC_86				Other	Fanconi anemia, complementation group J					BRCA1 interacting protein C-terminal helicase 1																						
BUB1B	gene	BUB1B	CGC_86				Other	Mosaic variegated aneuploidy syndrome					BUB1 mitotic checkpoint serine/threonine kinase B																						
CDC73	gene	CDC73	CGC_86				Other	Hyperparathyroidism 2					cell division cycle 73																						
CDH1	gene	CDH1	CGC_86				Other	Hereditary diffuse gastric cancer					cadherin 1																						
CDH10	gene	CDH10	CGC_86				Other	NA					cadherin 10																						
CDK4	gene	CDK4	CGC_86				Other	Hereditary cutaneous melanoma; Cutaneous malignant melanoma 3					cyclin dependent kinase 4																						
CDKN1B	gene	CDKN1B	CGC_86				Other	Multiple endocrine neoplasia, type 4					cyclin dependent kinase inhibitor 1B																						
CDKN2A	gene	CDKN2A	CGC_86				Other	Hereditary cutaneous melanoma					cyclin dependent kinase inhibitor 2A																						
CHEK2	gene	CHEK2	CGC_86				Other	Familial cancer of breast					checkpoint kinase 2																						
CXCR4	gene	CXCR4	CGC_86				Other	NA					C-X-C motif chemokine receptor 4																						
CYLD	gene	CYLD	CGC_86				Other	Spiegler-Brooke syndrome					CYLD lysine 63 deubiquitinase																						
DDB2	gene	DDB2	CGC_86				Other	Xeroderma pigmentosum, group E					damage specific DNA binding protein 2																						
DICER1	gene	DICER1	CGC_86				Other	Pleuropulmonary blastoma; DICER1 syndrome					dicer 1, ribonuclease III																						
EGFR	gene	EGFR	CGC_86				Other	NA					epidermal growth factor receptor																						
ERBB4	gene	ERBB4	CGC_86				Other	NA					erb-b2 receptor tyrosine kinase 4																						
ERCC2	gene	ERCC2	CGC_86				Other	Xeroderma pigmentosum, group D					ERCC excision repair 2, TFIIH core complex helicase subunit																						
ERCC3	gene	ERCC3	CGC_86				Other	Xeroderma Pigmentosum, Complementation Group B					ERCC excision repair 3, TFIIH core complex helicase subunit																						
ERCC4	gene	ERCC4	CGC_86				Other	Xeroderma pigmentosum, group F; Fanconi anemia, complementation group Q					ERCC excision repair 4, endonuclease catalytic subunit																						
ERCC5	gene	ERCC5	CGC_86				Other	Xeroderma pigmentosum, group G					ERCC excision repair 5, endonuclease																						
EXT1	gene	EXT1	CGC_86				Other	Chondrosarcoma					exostosin glycosyltransferase 1																						
EXT2	gene	EXT2	CGC_86				Other	Multiple exostoses type 2					exostosin glycosyltransferase 2																						
FANCA	gene	FANCA	CGC_86				Other	Fanconi anemia, complementation group A					Fanconi anemia complementation group A																						
FANCC	gene	FANCC	CGC_86				Other	Fanconi anemia, complementation group C					Fanconi anemia complementation group C																						
FANCD2	gene	FANCD2	CGC_86				Other	Fanconi anemia, complementation group D2					Fanconi anemia complementation group D2																						
FANCE	gene	FANCE	CGC_86				Other	Fanconi anemia, complementation group E					Fanconi anemia complementation group E																						
FANCF	gene	FANCF	CGC_86				Other	Fanconi anemia, complementation group F					Fanconi anemia complementation group F																						
FANCG	gene	FANCG	CGC_86				Other	Fanconi anemia, complementation group G					Fanconi anemia complementation group G																						
FAT1	gene	FAT1	CGC_86				Other	NA					FAT atypical cadherin 1																						
FEN1	gene	FEN1	CGC_86				Other	NA					flap structure-specific endonuclease 1																						
FH	gene	FH	CGC_86				Other	Multiple cutaneous leiomyomas					fumarate hydratase																						
FLCN	gene	FLCN	CGC_86				Other	Birt-Hogg-Dub syndrome					folliculin																						
GPC3	gene	GPC3	CGC_86				Other	Simpson-Golabi-Behmel syndrome					glypican 3																						
HNF1A	gene	HNF1A	CGC_86				Other	Hepatic adenomas, familial					HNF1 homeobox A																						
HRAS	gene	HRAS	CGC_86				Other	Costello syndrome					HRas proto-oncogene, GTPase																						
KDR	gene	KDR	CGC_86				Other	NA					kinase insert domain receptor																						
KIT	gene	KIT	CGC_86				Other	Gastrointestinal stroma tumor					KIT proto-oncogene receptor tyrosine kinase																						
LMO1	gene	LMO1	CGC_86				Other	Neuroblastoma, susceptibility to, 7					LIM domain only 1																						
LZTR1	gene	LZTR1	CGC_86				Other	NA					leucine zipper like transcription regulator 1																						
MAX	gene	MAX	CGC_86				Other	Hereditary Paraganglioma-Pheochromocytoma Syndromes					MYC associated factor X																						
MEN1	gene	MEN1	CGC_86				Other	Multiple endocrine neoplasia, type 1					menin 1																						
MLH1	gene	MLH1	CGC_86				Other	Hereditary nonpolyposis colon cancer; Turcot syndrome; Lynch syndrome					mutL homolog 1																						
MPL	gene	MPL	CGC_86				Other	Inherited predisposition to essential thrombocythemia					MPL proto-oncogene, thrombopoietin receptor																						
MSH2	gene	MSH2	CGC_86				Other	Hereditary nonpolyposis colon cancer; Turcot syndrome; Lynch syndrome					mutS homolog 2																						
MSH6	gene	MSH6	CGC_86				Other	Hereditary nonpolyposis colon cancer; Turcot syndrome; Lynch syndrome					mutS homolog 6																						
MUTYH	gene	MUTYH	CGC_86				Other	MYH-associated polyposis					mutY DNA glycosylase																						
NBN	gene	NBN	CGC_86				Other	Microcephaly, normal intelligence and immunodeficiency					nibrin																						
NF1	gene	NF1	CGC_86				Other	Neurofibromatosis, type 1					neurofibromin 1																						
NF2	gene	NF2	CGC_86				Other	Neurofibromatosis, type 2					neurofibromin 2																						
NTHL1	gene	NTHL1	CGC_86				Other	Familial adenomatous polyposis 3					nth like DNA glycosylase 1																						
PALB2	gene	PALB2	CGC_86				Other	Fanconi anemia, complementation group N					partner and localizer of BRCA2																						
PDGFRA	gene	PDGFRA	CGC_86				Other	Gastrointestinal stroma tumor					platelet derived growth factor receptor alpha																						
