gene	cn_lower_ex	cn_upper_ex	cn_lower	cn_upper	cn_lower_diff	cn_upper_diff	chromosome	start	end
PABPC4	True	False	1.8499/1.9975	2.003/1.9975	0.14759999999999995	0.00550000000000006	chr1	39560816	39576401
MTX1	True	False	2.0012/0.0642	2.0012/2.0043	1.9369999999999998	0.0031000000000003247	chr1	155208699	155213823
GBAP1	True	False	2.0012/0.0642	2.0012/2.0043	1.9369999999999998	0.0031000000000003247	chr1	155213821	155218924
HMGB2	True	False	1.7361/1.9919	1.9982/1.9919	0.2558	0.006299999999999972	chr4	173331695	173335125
OCLN	True	False	2.0032/0.0179	2.0032/2.0031	1.9853	0.00010000000000021103	chr5	69492292	69558104
GTF2H2C	True	False	2.0032/0.0179	2.0032/2.0031	1.9853	0.00010000000000021103	chr5	69560242	69593767
SERF1B	True	False	2.0032/0.0179	2.0032/2.0031	1.9853	0.00010000000000021103	chr5	70025269	70043113
SMN2	True	False	2.0032/0.0179	2.0032/2.0031	1.9853	0.00010000000000021103	chr5	70049612	70077592
SERF1A	True	False	2.0032/0.0179	2.0032/2.0031	1.9853	0.00010000000000021103	chr5	70900687	70918530
SMN1	True	False	2.0032/0.0179	2.0032/2.0031	1.9853	0.00010000000000021103	chr5	70925030	70953012
NAIP	True	False	2.0032/0.0179	2.0032/2.0031	1.9853	0.00010000000000021103	chr5	70968483	71024687
AMD1	True	False	1.6914/1.9967	1.9895/1.9967	0.3052999999999999	0.007199999999999873	chr6	110874770	110895713
H2AFY2	False	True	1.9744/1.9968	2.1976/2.0052	0.022399999999999975	0.19240000000000013	chr10	70052796	70112280
ZNF705A	True	False	1.9979/0.1064	1.9979/1.9975	1.8915	0.00039999999999995595	chr12	8172537	8180046
FAM90A1	True	False	1.9979/0.1064	1.9979/1.9975	1.8915	0.00039999999999995595	chr12	8221263	8227618
LINC02449	True	False	1.9979/0.1064	1.9979/1.9975	1.8915	0.00039999999999995595	chr12	8235415	8238946
LINC00937	True	False	1.9979/0.1064	1.9979/1.9975	1.8915	0.00039999999999995595	chr12	8295986	8396803
PWRN3	True	True	2.1066/1.9931	2.1066/1.9931	0.11349999999999971	0.11349999999999971	chr15	24441127	24447967
PDXDC1	True	False	1.9739/0.0184	1.9739/1.9838	1.9555	0.00990000000000002	chr16	14975103	15038332
MIR1972-1	True	False	1.9739/0.0763	1.9739/1.9838	1.8976	0.00990000000000002	chr16	15010321	15010397
NTAN1	True	False	1.9739/0.0184	1.9739/1.9838	1.9555	0.00990000000000002	chr16	15037853	15056064
CES1	True	False	1.9919/0.0282	1.9919/1.994	1.9637	0.0020999999999999908	chr16	55802853	55833158
EEF2	True	False	0.924/1.1576	1.9253/1.9281	0.23359999999999992	0.0027999999999999137	chr19	3976056	3985469
SNORD37	True	True	1.9253/1.7081	1.9253/1.7081	0.21720000000000006	0.21720000000000006	chr19	3982507	3982572
CRNKL1	True	False	1.818/2.0085	2.0249/2.0085	0.1905000000000001	0.01639999999999997	chr20	20034368	20056046
PLCXD1	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	281192	303356
GTPBP6	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	304750	318819
PPP2R3B	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	333963	386710
SHOX	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	624344	646823
CRLF2	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	1190490	1212750
CSF2RA	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	1268800	1309935
MIR3690	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	1293918	1293992
IL3RA	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	1336616	1382685
SLC25A6	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	1386152	1392724
LINC00106	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	1397025	1399402
ASMTL	True	True	1.8951/2.0237	1.8951/2.0237	0.12859999999999983	0.12859999999999983	chrX	1403141	1452873
P2RY8	True	False	1.8951/2.0237	2.0171/2.0237	0.12859999999999983	0.006599999999999717	chrX	1462572	1537107
SAT1	False	True	2.0171/2.0237	2.2123/2.0237	0.006599999999999717	0.1886000000000001	chrX	23783173	23786226
