gene	cn_lower_ex	cn_upper_ex	cn_lower	cn_upper	cn_lower_diff	cn_upper_diff	chromosome	start	end
SSU72	False	True	4.0242/4.0853	5.0089/7.4505	0.06109999999999971	2.4416	chr1	1541673	1574869
CFAP74	False	True	4.0231/4.0871	5.9764/5.5945	0.06400000000000006	0.3818999999999999	chr1	1921951	2003837
NOL9	True	True	5.1645/5.2657	5.1645/5.2657	0.10119999999999951	0.10119999999999951	chr1	6521347	6554535
TAS1R1	True	True	5.1645/5.2657	5.1645/5.2657	0.10119999999999951	0.10119999999999951	chr1	6555181	6579757
ZBTB48	True	True	5.1645/5.2657	5.1645/5.2657	0.10119999999999951	0.10119999999999951	chr1	6580048	6589280
KLHL21	True	True	5.1645/5.2657	5.1645/5.2657	0.10119999999999951	0.10119999999999951	chr1	6590724	6602869
PHF13	True	True	5.1645/5.2657	5.1645/5.2657	0.10119999999999951	0.10119999999999951	chr1	6613685	6624033
THAP3	True	True	5.1645/5.2657	5.1645/5.2657	0.10119999999999951	0.10119999999999951	chr1	6624866	6633565
DNAJC11	True	True	5.1645/5.2657	5.1645/5.2657	0.10119999999999951	0.10119999999999951	chr1	6634168	6701924
CAMTA1	True	True	4.1066/4.2296	5.1645/5.2657	0.12299999999999933	0.10119999999999951	chr1	6785324	7769706
Z97987.1	True	True	4.1066/4.2296	4.1066/4.2296	0.12299999999999933	0.12299999999999933	chr1	7382487	7389754
VAMP3	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	7771269	7781432
PER3	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	7784429	7845176
UTS2	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	7847766	7853431
TNFRSF9	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	7915894	7943165
PARK7	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	7961692	7985505
ERRFI1	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	8011719	8026308
LINC01714	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	8202429	8215210
SLC45A1	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	8317826	8344165
RERE	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	8352397	8817465
ENO1	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	8861002	8878690
MIR6728	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	8866502	8866590
ENO1-AS1	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	8878835	8879894
CA6	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	8945887	8974444
SLC2A7	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	9003300	9026345
SLC2A5	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	9035107	9069716
GPR157	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	9100305	9129170
MIR34AHG	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	9148011	9182392
MIR34A	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	9151668	9151777
LINC01759	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	9182204	9192089
H6PD	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	9239844	9267898
SPSB1	True	True	5.1036/5.2052	5.1036/5.2052	0.10159999999999947	0.10159999999999947	chr1	9292880	9369532
SLC25A33	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9539482	9585179
TMEM201	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9588922	9614849
PIK3CD	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9651745	9728919
PIK3CD-AS1	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9652610	9654586
PIK3CD-AS2	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9672426	9687555
CLSTN1	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9729026	9824526
CTNNBIP1	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9848276	9910263
LZIC	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9928939	9943329
NMNAT1	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9943428	9985498
MIR5697	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9967381	9967458
RBP7	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	9997216	10016020
UBE4B	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	10033596	10181239
KIF1B	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	10210805	10377937
MIR1273D	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	10227718	10227803
PGD	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	10399080	10420144
APITD1-CORT	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	10430102	10452153
CENPS	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	10430443	10442809
CORT	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	10449719	10451902
DFFA	True	True	5.2676/5.375	5.2676/5.375	0.10740000000000016	0.10740000000000016	chr1	10456522	10472526
PEX14	False	True	4.389/4.465	5.2676/5.375	0.07599999999999962	0.10740000000000016	chr1	10474887	10630758
VPS13D	False	True	4.5972/4.6826	5.64/5.7571	0.08539999999999992	0.11710000000000065	chr1	12230067	12512047
AL512408.1	True	True	3.537/3.3198	3.537/3.3198	0.21720000000000006	0.21720000000000006	chr1	26692132	26694131
