Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
A1CF	APOBEC1 complementation factor	29974	10:50806729-50859940	2		10q11.23	yes		melanoma			E		oncogene	Mis				"29974,A1CF,ENSG00000148584,Q9NQ94"
ACSL6	acyl-CoA synthetase long-chain family member 6	23305	5:131954234-132011553	2		5q31.1	yes		"AML, AEL"			L	Dom	fusion	T	ETV6			"23305,ACSL6,ENSG00000164398,FACL6,Q9UKU0"
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	10142	7:91941100-92110159	2		7q21-q22	yes		papillary thyroid			E	Dom	fusion	T	BRAF			"10142,AKAP350,AKAP450,AKAP9,CG-NAP,ENSG00000127914,HYPERION,KIAA0803,MU-RMS-40_16A,PRKA9,Q99996,YOTIAO"
AKT3	v-akt murine thymoma viral oncogene homolog 3	10000	1:243505249-243843170	2		1q43-q44	yes		GBM			O		oncogene	A				"10000,AKT3,ENSG00000117020,Q9Y243"
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	217	12:111766983-111809575	2		12q24.2	yes		leiomyoma			M	Dom	fusion	T	HMGA2			"217,ALDH2,ENSG00000111275,P05091"
ANK1	ankyrin 1	286	8:41655727-41797538	2		8p11.21	yes		CCRCC			E			Mis				"286,ANK,ANK1,ENSG00000029534,P16157"
ARAF	"A-Raf proto-oncogene, serine/threonine kinase"	369	X:47562968-47571457	2		Xp11.3	yes		"cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis"			"E, L"		oncogene	Mis				"369,ARAF,ARAF1,ENSG00000078061,P10398"
ARHGAP5	Rho GTPase activating protein 5	394	14:32090670-32154948	2		14q12	yes		"colon cancer, glioma"			"E, O"		oncogene	Mis				"394,ARHGAP5,ENSG00000100852,GFI2,Q13017"
ARHGEF10	Rho guanine nucleotide exchange factor 10	9639	8:1876561-1957263	2		8p23.3	yes		colon cancer			E		TSG	D				"9639,ARHGEF10,ENSG00000104728,O15013"
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	55160	1:17580596-17697380	2		1p36.13	yes		lymphoma			L		TSG	D				"55160,ARHGEF10L,ENSG00000074964,Q9HCE6"
ASXL2	"additional sex combs like 2, transcriptional regulator"	55252	2:25742029-25759640	2		2p23.3	yes		"melanoma, CCRCC, AML"			"E, L"		TSG	"O,N, F"				"55252,ASXL2,ENSG00000143970,Q76L83"
BAZ1A	bromodomain adjacent to zinc finger domain 1A	11177	14:34753508-34874604	2		14q13.1-q13.2	yes		"uterine carcinosarcoma, colon cancer"			E		TSG	D				"11177,BAZ1A,ENSG00000198604,Q9NRL2"
BCL2L12	BCL2 like 12	83596	19:49665824-49673748	2		19q13.33	yes		"melanoma, SCC"			E		oncogene	Mis				"83596,BCL2L12,ENSG00000126453,Q9HB09"
BCLAF1	BCL2 associated transcription factor 1	9774	6:136261259-136279866	2		6q23.3	yes		"melanoma, SCC"			E			Mis				"9774,BCLAF1,ENSG00000029363,Q9NYF8"
