gene	cn_lower_ex	cn_upper_ex	cn_lower	cn_upper	cn_lower_diff	cn_upper_diff	chromosome	start	end
LCE1D	True	False	6.1111/0.079	6.1111/6.1039	6.032100000000001	0.007200000000000095	chr1	152796751	152798181
MTX1	True	False	6.1111/0.1502	6.1111/6.1039	5.9609000000000005	0.007200000000000095	chr1	155208699	155213823
GBAP1	True	False	6.1111/0.1502	6.1111/6.1039	5.9609000000000005	0.007200000000000095	chr1	155213821	155218924
OCLN	True	False	3.9438/0.0862	3.9438/3.9192	3.8576	0.024599999999999955	chr5	69492292	69558104
GTF2H2C	True	False	3.9438/0.0862	3.9438/3.9192	3.8576	0.024599999999999955	chr5	69560242	69593767
SERF1B	True	False	3.9438/0.0862	3.9438/3.9192	3.8576	0.024599999999999955	chr5	70025269	70043113
SMN2	True	False	3.9438/0.0862	3.9438/3.9192	3.8576	0.024599999999999955	chr5	70049612	70077592
SERF1A	True	False	3.9438/0.0862	3.9438/3.9192	3.8576	0.024599999999999955	chr5	70900687	70918530
SMN1	True	False	3.9438/0.0862	3.9438/3.9192	3.8576	0.024599999999999955	chr5	70925030	70953012
NAIP	True	False	3.9438/0.0862	3.9438/3.9192	3.8576	0.024599999999999955	chr5	70968483	71024687
HLA-DRB5	True	False	3.2437/0.1835	3.2437/3.2451	3.0602	0.0013999999999998458	chr6	32517343	32530287
HLA-DRB1	True	False	3.2437/0.0521	3.2437/3.2451	3.1916	0.0013999999999998458	chr6	32578769	32589848
PTPRD	True	False	4.0554/3.942	4.0554/4.0544	0.1133999999999995	0.0009999999999994458	chr9	8314246	10033790
AKR1C1	False	True	3.0764/3.0332	3.2447/3.0332	0.04320000000000013	0.21150000000000002	chr10	4963253	4983283
AKR1C2	False	True	3.022/3.0332	3.2447/3.0332	0.011200000000000099	0.21150000000000002	chr10	4987400	5004023
OR5A2	True	True	3.2196/3.1186	3.2196/3.1186	0.10099999999999998	0.10099999999999998	chr11	59421943	59422976
HEATR4	True	False	0.0/2.0828	2.0676/2.0828	2.0828	0.015200000000000102	chr14	73478486	73558921
PDXDC1	True	False	3.9838/0.0203	3.9838/3.9867	3.9635	0.0028999999999999027	chr16	14975103	15038332
MIR1972-1	True	False	3.9838/0.0316	3.9838/3.9867	3.9522	0.0028999999999999027	chr16	15010321	15010397
NTAN1	True	False	3.9838/0.0203	3.9838/3.9867	3.9635	0.0028999999999999027	chr16	15037853	15056064
RRN3	True	False	3.9838/0.0566	3.9838/3.9867	3.9272	0.0028999999999999027	chr16	15060022	15094317
CES1	True	False	2.0607/0.011	2.0607/2.0615	2.0497	0.0007999999999999119	chr16	55802853	55833158
DNMT1	True	False	4.7664/4.9176	4.9125/4.9176	0.15120000000000022	0.0051000000000005485	chr19	10133540	10195079
S1PR2	True	True	4.7664/4.9176	4.7664/4.9176	0.15120000000000022	0.15120000000000022	chr19	10221435	10231272
MIR4322	True	True	4.7664/4.9176	4.7664/4.9176	0.15120000000000022	0.15120000000000022	chr19	10230413	10230485
MRPL4	True	True	4.7664/4.9176	4.7664/4.9176	0.15120000000000022	0.15120000000000022	chr19	10251967	10260045
ICAM1	True	True	4.7664/4.9176	4.7664/4.9176	0.15120000000000022	0.15120000000000022	chr19	10270835	10286615
ICAM4	True	True	4.7664/4.9176	4.7664/4.9176	0.15120000000000022	0.15120000000000022	chr19	10286974	10288502
ICAM5	True	True	4.7664/4.9176	4.7664/4.9176	0.15120000000000022	0.15120000000000022	chr19	10289981	10296778
ZGLP1	True	True	4.7664/4.9176	4.7664/4.9176	0.15120000000000022	0.15120000000000022	chr19	10304803	10309880
FDX2	True	False	4.7664/4.9176	4.9002/4.9176	0.15120000000000022	0.017400000000000304	chr19	10310045	10316015
