gene	cn_lower_ex	cn_upper_ex	cn_lower	cn_upper	cn_lower_diff	cn_upper_diff	chromosome	start	end
PCSK9	True	True	4.392/4.9679	4.392/4.9679	0.5758999999999999	0.5758999999999999	chr1	55039548	55064852
USP24	True	True	4.392/4.9679	5.083/4.9679	0.5758999999999999	0.11509999999999998	chr1	55066359	55215113
MIR4422HG	True	True	5.083/4.9679	5.083/4.9679	0.11509999999999998	0.11509999999999998	chr1	55217861	55234177
MIR4422	True	True	5.083/4.9679	5.083/4.9679	0.11509999999999998	0.11509999999999998	chr1	55225641	55225723
MTX1	True	False	3.2223/0.0825	3.2223/3.2203	3.1398	0.002000000000000224	chr1	155208699	155213823
GBAP1	True	False	3.2223/0.0825	3.2223/3.2203	3.1398	0.002000000000000224	chr1	155213821	155218924
PARD3B	False	True	3.9013/3.8996	5.688/5.9847	0.0017000000000000348	0.2967000000000004	chr2	204545793	205620162
PTX3	True	False	2.0693/2.9872	2.9939/3.0045	0.9178999999999999	0.010600000000000165	chr3	157436789	157443628
MIR570	True	True	3.0444/3.2915	3.0444/3.2915	0.2471000000000001	0.2471000000000001	chr3	195699401	195699497
MUC20	True	True	3.0444/3.2915	3.0444/3.2915	0.2471000000000001	0.2471000000000001	chr3	195720882	195733551
MUC4	True	True	3.0444/3.2915	3.0444/3.2915	0.2471000000000001	0.2471000000000001	chr3	195746765	195812277
TNK2	True	True	3.0444/3.2915	3.0444/3.2915	0.2471000000000001	0.2471000000000001	chr3	195863364	195895561
MIR6829	True	True	3.0444/3.2915	3.0444/3.2915	0.2471000000000001	0.2471000000000001	chr3	195882329	195882395
ZNF718	True	False	2.1988/0.0998	2.1988/2.2003	2.0989999999999998	0.0015000000000000568	chr4	124480	163989
AC093890.3	False	True	1.9828/1.9734	2.1839/1.9734	0.009399999999999853	0.2104999999999999	chr4	143912331	143982454
GYPB	True	True	2.1839/1.9734	2.1839/1.9734	0.2104999999999999	0.2104999999999999	chr4	143996106	144019339
