gene	cn_lower_ex	cn_upper_ex	cn_lower	cn_upper	cn_lower_diff	cn_upper_diff	chromosome	start	end
MTX1	True	False	2.9704/0.0966	2.9704/2.9468	2.8738	0.023600000000000065	chr1	155208699	155213823
GBAP1	True	False	2.9704/0.0966	2.9704/2.9468	2.8738	0.023600000000000065	chr1	155213821	155218924
SDC1	True	True	2.0106/2.2166	2.0106/2.2166	0.20599999999999996	0.20599999999999996	chr2	20200799	20225433
PUM2	False	True	2.0033/2.0043	3.5604/2.2166	0.001000000000000334	1.3437999999999999	chr2	20248691	20327383
ADCY5	True	False	1.5292/1.939	2.0165/1.939	0.40980000000000016	0.07750000000000012	chr3	123282296	123449758
ZNF595	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	53285	88211
ZNF718	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	124480	163989
ZNF876P	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	212610	255985
ZNF732	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	270675	305321
ZNF141	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	337835	375258
MIR571	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	350157	350252
ABCA11P	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	425773	427882
ZNF721	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	441695	499156
PIGG	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	499230	539529
PDE6B	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	625606	670753
AC107464.1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	653059	656213
ATP5I	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	672436	674338
MYL5	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	677922	682033
MFSD7	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	681831	689143
PCGF3	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	705765	770640
AC139887.2	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	780149	781849
CPLX1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	784957	826198
GAK	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	849278	932298
TMEM175	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	932387	958656
DGKQ	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	958887	973556
IDUA	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	986997	1004506
SLC26A1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	987657	993436
FGFRL1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1009979	1026891
RNF212	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1072756	1113526
AC092535.3	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1113639	1132950
TMED11P	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1115263	1153726
SPON2	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1166937	1208962
CTBP1-AS	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1210120	1218591
CTBP1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1211448	1249137
MAEA	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1289851	1340137
UVSSA	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1347316	1387944
CRIPAK	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1391552	1395989
NKX1-1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1402932	1406331
FAM53A	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1639881	1684261
SLBP	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1692800	1712555
TMEM129	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1715953	1721331
TACC3	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1721539	1745171
FGFR3	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1793312	1808872
LETM1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1811479	1856247
NSD2	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1892845	1982207
SCARNA22	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1974636	1974760
NELFA	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1982714	2010110
MIR943	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	1986384	1986477
C4orf48	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2041993	2043970
NAT8L	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2059512	2069088
POLN	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2071918	2242121
HAUS3	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2228349	2242133
MXD4	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2247432	2262294
MIR4800	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2250077	2250156
ZFYVE28	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2269598	2418663
CFAP99	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2426476	2462926
