symbol	n	sources	ngc	cosm1	cancermine	cacao	umccr	germ	driver	cos_fu	hmf_fu	tumorsuppressor	oncogene	fusion	tier1	PRINCIPAL_hg19	PRINCIPAL_hg38
A1CF	2	NGC_known|cosmic2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	ENST00000373993	ENST00000373993
ABCB1	2	UMCCR|TEMPUS	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	ENST00000265724	ENST00000265724,ENST00000622132
ABCB11	1	CPSR_panel0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	ENST00000263817	ENST00000650372,ENST00000263817
ABI1	4	NGC_known|foundation_one_heme|cosmic1|HMF_fusions	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	ENST00000376139	ENST00000376139
ABL1	14	AZ300|PMCC|TS500|TEMPUS|NGC_known|cancermine|oncokb|msk_impact|msk_heme|foundation_one|foundation_one_heme|vogelstein|cosmic1|HMF_fusions	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.2777777777777778	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	ENST00000372348	ENST00000372348
ABL2	7	PMCC|TS500|TEMPUS|NGC_known|foundation_one|foundation_one_heme|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	ENST00000502732	ENST00000502732
ABRAXAS1	4	CPSR_panel0|TS500|TEMPUS|familial_cancer	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	ENST00000321945
ACD	1	CPSR_panel0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	ENST00000219251	ENST00000219251
ACKR3	2	NGC_known|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	ENST00000272928	ENST00000272928
ACSL3	3	NGC_known|cosmic1|HMF_fusions	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	ENST00000392066,ENST00000357430	ENST00000357430,ENST00000392066
ACSL6	3	NGC_known|foundation_one_heme|cosmic2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	ENST00000543479,ENST00000379244	ENST00000379264
ACTB	3	NGC_other|foundation_one_heme|HMF_fusions	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	ENST00000331789	ENST00000646664,ENST00000493945,ENST00000331789
ACTG1	2	oncokb|msk_heme	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	ENST00000331925,ENST00000575842,ENST00000575087,ENST00000573283	ENST00000331925,ENST00000575087,ENST00000575842,ENST00000615544,ENST00000573283,ENST00000644774
ACVR1	6	TS500|NGC_known|NGC_other|oncokb|msk_impact|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	ENST00000409283,ENST00000263640,ENST00000410057,ENST00000434821	ENST00000263640,ENST00000409283,ENST00000410057,ENST00000434821
ACVR1B	8	AZ300|PMCC|TS500|TEMPUS|NGC_known|NGC_other|foundation_one|vogelstein	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	ENST00000257963	ENST00000257963
ACVR2A	4	AZ300|NGC_known|NGC_other|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	ENST00000404590,ENST00000241416	ENST00000241416,ENST00000404590
ADGRA2	4	PMCC|TS500|foundation_one|foundation_one_heme	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	ENST00000412232
AFDN	1	NGC_known	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	NA	ENST00000366806
AFF1	4	NGC_known|foundation_one_heme|cosmic1|HMF_fusions	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	ENST00000307808	ENST00000307808
AFF3	3	NGC_known|cosmic1|HMF_fusions	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	ENST00000409579,ENST00000356421	ENST00000409579
AFF4	4	NGC_known|foundation_one_heme|cosmic1|HMF_fusions	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	ENST00000265343	ENST00000265343
AGO2	2	oncokb|msk_impact	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	ENST00000220592	ENST00000220592
AIP	2	CPSR_panel0|familial_cancer	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	ENST00000279146	ENST00000279146
AJUBA	3	AZ300|TEMPUS|NGC_other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	ENST00000361265,ENST00000262713	ENST00000262713,ENST00000361265
AKAP9	3	NGC_known|cosmic2|HMF_fusions	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	ENST00000356239	ENST00000356239
AKT1	16	CPSR_panel0|AZ300|PMCC|TS500|TEMPUS|familial_cancer|NGC_known|NGC_other|cancermine|oncokb|msk_impact|msk_heme|foundation_one|foundation_one_heme|vogelstein|cosmic1	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	0.3157894736842105	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	ENST00000554848,ENST00000407796,ENST00000554581,ENST00000349310,ENST00000555528,ENST00000402615	ENST00000407796,ENST00000402615,ENST00000555528,ENST00000554581,ENST00000349310,ENST00000554848,ENST00000649815
AKT2	13	AZ300|PMCC|TS500|TEMPUS|NGC_known|NGC_other|oncokb|msk_impact|msk_heme|foundation_one|foundation_one_heme|cosmic1|HMF_fusions	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	ENST00000424901,ENST00000392038	ENST00000392038
AKT3	12	AZ300|PMCC|TS500|TEMPUS|NGC_known|oncokb|msk_impact|msk_heme|foundation_one|foundation_one_heme|cosmic2|HMF_fusions	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	ENST00000263826,ENST00000366539	ENST00000263826,ENST00000366539
ALDH2	3	NGC_known|cosmic2|HMF_fusions	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	ENST00000261733	ENST00000261733
