Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABRAXAS1	gene	ABRAXAS1	NCGC				Other	NA					abraxas 1, BRCA1 A complex subunit																						
ACD	gene	ACD	NCGC				Other	NA					ACD, shelterin complex subunit and telomerase recruitment factor																						
AIP	gene	AIP	NCGC				Other	NA					aryl hydrocarbon receptor interacting protein																						
AKT1	gene	AKT1	NCGC				Other	NA					AKT serine/threonine kinase 1																						
ALK	gene	ALK	NCGC				Other	Neuroblastoma					ALK receptor tyrosine kinase																						
APC	gene	APC	NCGC				Other	Familial adenomatous polyposis 1					APC, WNT signaling pathway regulator																						
ATM	gene	ATM	NCGC				Other	Ataxia-telangiectasia syndrome					ATM serine/threonine kinase																						
AXIN1	gene	AXIN1	NCGC				Other	NA					axin 1																						
AXIN2	gene	AXIN2	NCGC				Other	Oligodontia-colorectal cancer syndrome					axin 2																						
BAP1	gene	BAP1	NCGC				Other	Tumor susceptibility linked to germline BAP1 mutations; BAP1 Cancer Syndrome					BRCA1 associated protein 1																						
BARD1	gene	BARD1	NCGC				Other	NA					BRCA1 associated RING domain 1																						
BLM	gene	BLM	NCGC				Other	Bloom syndrome					Bloom syndrome RecQ like helicase																						
BMPR1A	gene	BMPR1A	NCGC				Other	Juvenile polyposis syndrome					bone morphogenetic protein receptor type 1A																						
BRCA1	gene	BRCA1	NCGC				Other	Hereditary breast and ovarian cancer syndrome					BRCA1, DNA repair associated																						
BRCA2	gene	BRCA2	NCGC				Other	Hereditary breast and ovarian cancer syndrome; Fanconi anemia, complementation group D1					BRCA2, DNA repair associated																						
BRIP1	gene	BRIP1	NCGC				Other	Fanconi anemia, complementation group J					BRCA1 interacting protein C-terminal helicase 1																						
BUB1B	gene	BUB1B	NCGC				Other	Mosaic variegated aneuploidy syndrome					BUB1 mitotic checkpoint serine/threonine kinase B																						
CASR	gene	CASR	NCGC				Other	NA					calcium sensing receptor																						
CDC73	gene	CDC73	NCGC				Other	Hyperparathyroidism 2					cell division cycle 73																						
CDH1	gene	CDH1	NCGC				Other	Hereditary diffuse gastric cancer					cadherin 1																						
CDK4	gene	CDK4	NCGC				Other	Hereditary cutaneous melanoma; Cutaneous malignant melanoma 3					cyclin dependent kinase 4																						
CDKN1B	gene	CDKN1B	NCGC				Other	Multiple endocrine neoplasia, type 4					cyclin dependent kinase inhibitor 1B																						
CDKN1C	gene	CDKN1C	NCGC				Other	Beckwith-Wiedemann syndrome					cyclin dependent kinase inhibitor 1C																						
CDKN2A	gene	CDKN2A	NCGC				Other	Hereditary cutaneous melanoma					cyclin dependent kinase inhibitor 2A																						
CEBPA	gene	CEBPA	NCGC				Other	Acute myeloid leukemia					CCAAT enhancer binding protein alpha																						
CEP57	gene	CEP57	NCGC				Other	NA					centrosomal protein 57																						
CHEK2	gene	CHEK2	NCGC				Other	Familial cancer of breast					checkpoint kinase 2																						
CTNNA1	gene	CTNNA1	NCGC				Other	NA					catenin alpha 1																						
CTNNB1	gene	CTNNB1	NCGC				Other	NA					catenin beta 1																						
CTRC	gene	CTRC	NCGC				Other	NA					chymotrypsin C																						
CYLD	gene	CYLD	NCGC				Other	Spiegler-Brooke syndrome					CYLD lysine 63 deubiquitinase																						
DDB2	gene	DDB2	NCGC				Other	Xeroderma pigmentosum, group E					damage specific DNA binding protein 2																						
DICER1	gene	DICER1	NCGC				Other	Pleuropulmonary blastoma; DICER1 syndrome					dicer 1, ribonuclease III																						
DIRAS3	gene	DIRAS3	NCGC				Other	NA					DIRAS family GTPase 3																						
DIS3L2	gene	DIS3L2	NCGC				Other	Renal hamartomas nephroblastomatosis and fetal gigantism					DIS3 like 3'-5' exoribonuclease 2																						
DTX3L	gene	DTX3L	NCGC				Other	NA					deltex E3 ubiquitin ligase 3L																						
EGFR	gene	EGFR	NCGC				Other	NA					epidermal growth factor receptor																						
ENG	gene	ENG	NCGC				Other	NA					endoglin																						
EPCAM	gene	EPCAM	NCGC				Other	Hereditary nonpolyposis colorectal cancer type 8					epithelial cell adhesion molecule																						
ERCC1	gene	ERCC1	NCGC				Other	Cerebrooculofacioskeletal syndrome 4					ERCC excision repair 1, endonuclease non-catalytic subunit																						
ERCC2	gene	ERCC2	NCGC				Other	Xeroderma pigmentosum, group D					ERCC excision repair 2, TFIIH core complex helicase subunit																						
ERCC3	gene	ERCC3	NCGC				Other	Xeroderma Pigmentosum, Complementation Group B					ERCC excision repair 3, TFIIH core complex helicase subunit																						
ERCC4	gene	ERCC4	NCGC				Other	Xeroderma pigmentosum, group F; Fanconi anemia, complementation group Q					ERCC excision repair 4, endonuclease catalytic subunit																						
ERCC5	gene	ERCC5	NCGC				Other	Xeroderma pigmentosum, group G					ERCC excision repair 5, endonuclease																						
ETV6	gene	ETV6	NCGC				Other	Thrombocytopenia 5					ETS variant 6																						
EXT1	gene	EXT1	NCGC				Other	Chondrosarcoma					exostosin glycosyltransferase 1																						
EXT2	gene	EXT2	NCGC				Other	Multiple exostoses type 2					exostosin glycosyltransferase 2																						
EZH2	gene	EZH2	NCGC				Other	NA					enhancer of zeste 2 polycomb repressive complex 2 subunit																						
FANCA	gene	FANCA	NCGC				Other	Fanconi anemia, complementation group A					Fanconi anemia complementation group A																						
FANCB	gene	FANCB	NCGC				Other	NA					Fanconi anemia complementation group B																						
FANCC	gene	FANCC	NCGC				Other	Fanconi anemia, complementation group C					Fanconi anemia complementation group C																						
FANCD2	gene	FANCD2	NCGC				Other	Fanconi anemia, complementation group D2					Fanconi anemia complementation group D2																						
FANCE	gene	FANCE	NCGC				Other	Fanconi anemia, complementation group E					Fanconi anemia complementation group E																						
FANCF	gene	FANCF	NCGC				Other	Fanconi anemia, complementation group F					Fanconi anemia complementation group F																						
FANCG	gene	FANCG	NCGC				Other	Fanconi anemia, complementation group G					Fanconi anemia complementation group G																						
FANCI	gene	FANCI	NCGC				Other	Fanconi anemia, complementation group I					Fanconi anemia complementation group I																						
FANCL	gene	FANCL	NCGC				Other	Fanconi anemia, complementation group L					Fanconi anemia complementation group L																						
FANCM	gene	FANCM	NCGC				Other	NA					Fanconi anemia complementation group M																						
FH	gene	FH	NCGC				Other	Multiple cutaneous leiomyomas					fumarate hydratase																						
FLCN	gene	FLCN	NCGC				Other	Birt-Hogg-Dub syndrome					folliculin																						
