gene	cn_lower_ex	cn_upper_ex	cn_lower	cn_upper	cn_lower_diff	cn_upper_diff	chromosome	start	end
HIST2H2AC	True	False	1.9408/1.6754	1.9408/1.9909	0.2654000000000001	0.05009999999999981	chr1	149886975	149887364
HIST2H2AB	True	False	1.9408/1.6754	1.9408/1.9294	0.2654000000000001	0.011400000000000077	chr1	149887524	149887916
MTX1	True	False	0.1696/0.0263	1.9988/1.9988	0.1433	0.0	chr1	155208699	155213823
GBAP1	True	False	0.1696/0.0263	1.9988/1.9988	0.1433	0.0	chr1	155213821	155218924
AC116050.1	True	True	1.9654/2.3082	1.9654/2.3082	0.34279999999999977	0.34279999999999977	chr2	91617160	91659972
MUC4	True	False	0.0586/2.0127	2.013/2.0127	1.9541000000000002	0.0002999999999997449	chr3	195746765	195812277
AC136759.1	False	True	2.0062/2.0124	2.1336/2.0124	0.006199999999999761	0.12119999999999997	chr11	49560818	49810419
OR4C13	True	True	2.1336/2.0124	2.1336/2.0124	0.12119999999999997	0.12119999999999997	chr11	49952391	49953419
OR4C12	True	True	2.1336/2.0124	2.1336/2.0124	0.12119999999999997	0.12119999999999997	chr11	49981473	49982535
OR4C45	True	True	2.1336/2.0124	2.1336/2.0124	0.12119999999999997	0.12119999999999997	chr11	50032874	50033794
AC109635.4	True	True	2.1336/2.0124	2.1336/2.0124	0.12119999999999997	0.12119999999999997	chr11	50279828	50298452
HEATR4	True	False	0.0/2.003	2.0029/2.003	2.003	0.00010000000000021103	chr14	73478486	73558921
PDXDC1	True	False	1.9547/0.0237	1.9547/1.9574	1.931	0.0026999999999999247	chr16	14975103	15038332
MIR1972-1	True	False	1.9547/0.0237	1.9547/1.9574	1.931	0.0026999999999999247	chr16	15010321	15010397
NTAN1	True	False	1.9547/0.0414	1.9547/1.9574	1.9133	0.0026999999999999247	chr16	15037853	15056064
RRN3	True	False	1.9547/0.0869	1.9547/1.9574	1.8678000000000001	0.0026999999999999247	chr16	15060022	15094317
KRT34	True	False	0.0279/1.9536	1.9513/1.9536	1.9257	0.0022999999999999687	chr17	41377650	41382403
LINC02210-CRHR1	True	False	0.1015/1.9536	1.9513/1.9536	1.8521	0.0022999999999999687	chr17	45620344	45835826
CRHR1	True	False	0.0237/1.9536	1.9513/1.9536	1.9299	0.0022999999999999687	chr17	45784545	45835828
KANSL1-AS1	True	False	0.1732/1.9536	1.9513/1.9536	1.7804	0.0022999999999999687	chr17	46196058	46196723
AKAP17A	True	True	2.9715/2.4832	2.9715/2.4832	0.48829999999999973	0.48829999999999973	chrX	1591593	1602514
ASMT	True	True	2.9715/2.4832	2.9715/2.4832	0.48829999999999973	0.48829999999999973	chrX	1615001	1643081
